vd	Id(M1)
-5.000000000000000e+000	-2.903067e-003
-4.900000000000000e+000	-2.887100e-003
-4.800000000000001e+000	-2.871133e-003
-4.700000000000001e+000	-2.855166e-003
-4.600000000000001e+000	-2.839200e-003
-4.500000000000002e+000	-2.823233e-003
-4.400000000000002e+000	-2.807266e-003
-4.300000000000003e+000	-2.791299e-003
-4.200000000000003e+000	-2.775332e-003
-4.100000000000003e+000	-2.759365e-003
-4.000000000000004e+000	-2.743398e-003
-3.900000000000004e+000	-2.727431e-003
-3.800000000000003e+000	-2.711465e-003
-3.700000000000003e+000	-2.695498e-003
-3.600000000000003e+000	-2.679531e-003
-3.500000000000003e+000	-2.663564e-003
-3.400000000000003e+000	-2.647597e-003
-3.300000000000003e+000	-2.631630e-003
-3.200000000000003e+000	-2.615663e-003
-3.100000000000003e+000	-2.599697e-003
-3.000000000000003e+000	-2.583730e-003
-2.900000000000003e+000	-2.567763e-003
-2.800000000000003e+000	-2.551796e-003
-2.700000000000002e+000	-2.535829e-003
-2.600000000000002e+000	-2.519862e-003
-2.500000000000002e+000	-2.502786e-003
-2.400000000000002e+000	-2.478909e-003
-2.300000000000002e+000	-2.447553e-003
-2.200000000000002e+000	-2.408865e-003
-2.100000000000002e+000	-2.362991e-003
-2.000000000000002e+000	-2.310080e-003
-1.900000000000002e+000	-2.250276e-003
-1.800000000000002e+000	-2.183728e-003
-1.700000000000002e+000	-2.110583e-003
-1.600000000000001e+000	-2.030986e-003
-1.500000000000001e+000	-1.945086e-003
-1.400000000000001e+000	-1.853029e-003
-1.300000000000001e+000	-1.754961e-003
-1.200000000000001e+000	-1.651030e-003
-1.100000000000001e+000	-1.541383e-003
-1.000000000000001e+000	-1.426167e-003
-9.000000000000009e-001	-1.305528e-003
-8.000000000000009e-001	-1.179613e-003
-7.000000000000010e-001	-1.048570e-003
-6.000000000000010e-001	-9.125445e-004
-5.000000000000010e-001	-7.716843e-004
-4.000000000000010e-001	-6.261360e-004
-3.000000000000010e-001	-4.760465e-004
-2.000000000000010e-001	-3.215628e-004
-1.000000000000010e-001	-1.628316e-004
0.000000000000000e+000	0.000000e+000
