vd	Id(M1)
-5.000000000000000e+000	-5.820416e-004
-4.900000000000000e+000	-5.784289e-004
-4.800000000000001e+000	-5.748163e-004
-4.700000000000001e+000	-5.712036e-004
-4.600000000000001e+000	-5.675909e-004
-4.500000000000002e+000	-5.639783e-004
-4.400000000000002e+000	-5.603656e-004
-4.300000000000003e+000	-5.567529e-004
-4.200000000000003e+000	-5.531402e-004
-4.100000000000003e+000	-5.495276e-004
-4.000000000000004e+000	-5.459149e-004
-3.900000000000004e+000	-5.423022e-004
-3.800000000000003e+000	-5.386896e-004
-3.700000000000003e+000	-5.350769e-004
-3.600000000000003e+000	-5.314642e-004
-3.500000000000003e+000	-5.278515e-004
-3.400000000000003e+000	-5.242389e-004
-3.300000000000003e+000	-5.206262e-004
-3.200000000000003e+000	-5.170135e-004
-3.100000000000003e+000	-5.134008e-004
-3.000000000000003e+000	-5.097882e-004
-2.900000000000003e+000	-5.061755e-004
-2.800000000000003e+000	-5.025628e-004
-2.700000000000002e+000	-4.989501e-004
-2.600000000000002e+000	-4.953375e-004
-2.500000000000002e+000	-4.917248e-004
-2.400000000000002e+000	-4.881121e-004
-2.300000000000002e+000	-4.844995e-004
-2.200000000000002e+000	-4.808868e-004
-2.100000000000002e+000	-4.772741e-004
-2.000000000000002e+000	-4.736614e-004
-1.900000000000002e+000	-4.700488e-004
-1.800000000000002e+000	-4.664361e-004
-1.700000000000002e+000	-4.628234e-004
-1.600000000000001e+000	-4.592107e-004
-1.500000000000001e+000	-4.555981e-004
-1.400000000000001e+000	-4.519854e-004
-1.300000000000001e+000	-4.483727e-004
-1.200000000000001e+000	-4.447601e-004
-1.100000000000001e+000	-4.410067e-004
-1.000000000000001e+000	-4.325120e-004
-9.000000000000009e-001	-4.171795e-004
-8.000000000000009e-001	-3.951821e-004
-7.000000000000010e-001	-3.666925e-004
-6.000000000000010e-001	-3.318835e-004
-5.000000000000010e-001	-2.909280e-004
-4.000000000000010e-001	-2.439987e-004
-3.000000000000010e-001	-1.912685e-004
-2.000000000000010e-001	-1.329101e-004
-1.000000000000010e-001	-6.909632e-005
0.000000000000000e+000	0.000000e+000
