vg	Id(M1)
-5.000000000000000e+000	-5.923095e-003
-4.900000000000000e+000	-5.602794e-003
-4.800000000000001e+000	-5.291397e-003
-4.700000000000001e+000	-4.988902e-003
-4.600000000000001e+000	-4.695309e-003
-4.500000000000002e+000	-4.410620e-003
-4.400000000000002e+000	-4.134833e-003
-4.300000000000003e+000	-3.867950e-003
-4.200000000000003e+000	-3.609968e-003
-4.100000000000003e+000	-3.360890e-003
-4.000000000000004e+000	-3.120714e-003
-3.900000000000004e+000	-2.889442e-003
-3.800000000000003e+000	-2.667072e-003
-3.700000000000003e+000	-2.453604e-003
-3.600000000000003e+000	-2.249039e-003
-3.500000000000003e+000	-2.053378e-003
-3.400000000000003e+000	-1.866619e-003
-3.300000000000003e+000	-1.688762e-003
-3.200000000000003e+000	-1.519809e-003
-3.100000000000003e+000	-1.359758e-003
-3.000000000000003e+000	-1.208610e-003
-2.900000000000003e+000	-1.066364e-003
-2.800000000000003e+000	-9.330219e-004
-2.700000000000002e+000	-8.085821e-004
-2.600000000000002e+000	-6.930451e-004
-2.500000000000002e+000	-5.864108e-004
-2.400000000000002e+000	-4.886793e-004
-2.300000000000002e+000	-3.998505e-004
-2.200000000000002e+000	-3.199245e-004
-2.100000000000002e+000	-2.489013e-004
-2.000000000000002e+000	-1.867808e-004
-1.900000000000002e+000	-1.335630e-004
-1.800000000000002e+000	-8.924805e-005
-1.700000000000002e+000	-5.383582e-005
-1.600000000000001e+000	-2.732635e-005
-1.500000000000001e+000	-9.719633e-006
-1.400000000000001e+000	-1.015675e-006
-1.300000000000001e+000	-1.001000e-011
-1.200000000000001e+000	-1.001000e-011
-1.100000000000001e+000	-1.001000e-011
-1.000000000000001e+000	-1.001000e-011
-9.000000000000009e-001	-1.001000e-011
-8.000000000000009e-001	-1.001000e-011
-7.000000000000010e-001	-1.001000e-011
-6.000000000000010e-001	-1.001000e-011
-5.000000000000010e-001	-1.001000e-011
-4.000000000000010e-001	-1.001000e-011
-3.000000000000010e-001	-1.001000e-011
-2.000000000000010e-001	-1.001000e-011
-1.000000000000010e-001	-1.001000e-011
0.000000000000000e+000	-1.001000e-011
