v2	Ic(Q1)
0.000000000000000e+000	1.464010e-012
1.000000000000000e-002	1.504860e-012
2.000000000000000e-002	1.569704e-012
3.000000000000000e-002	1.669860e-012
4.000000000000000e-002	1.821993e-012
5.000000000000000e-002	2.050625e-012
6.000000000000001e-002	2.391852e-012
7.000000000000001e-002	2.898800e-012
8.000000000000000e-002	3.649663e-012
9.000000000000000e-002	4.759527e-012
9.999999999999999e-002	6.397781e-012
1.100000000000000e-001	8.813738e-012
1.200000000000000e-001	1.237435e-011
1.300000000000000e-001	1.761969e-011
1.400000000000000e-001	2.534469e-011
1.500000000000000e-001	3.671933e-011
1.600000000000000e-001	5.346562e-011
1.700000000000000e-001	7.811812e-011
1.800000000000000e-001	1.144072e-010
1.900000000000000e-001	1.678235e-010
2.000000000000000e-001	2.464482e-010
2.100000000000001e-001	3.621754e-010
2.200000000000001e-001	5.325114e-010
2.300000000000001e-001	7.832224e-010
2.400000000000001e-001	1.152232e-009
2.500000000000001e-001	1.695359e-009
2.600000000000001e-001	2.494755e-009
2.700000000000001e-001	3.671339e-009
2.800000000000001e-001	5.403080e-009
2.900000000000001e-001	7.951920e-009
3.000000000000001e-001	1.170340e-008
3.100000000000001e-001	1.722495e-008
3.200000000000001e-001	2.535177e-008
3.300000000000001e-001	3.731310e-008
3.400000000000001e-001	5.491820e-008
3.500000000000001e-001	8.083000e-008
3.600000000000002e-001	1.189679e-007
3.700000000000002e-001	1.751005e-007
3.800000000000002e-001	2.577184e-007
3.900000000000002e-001	3.793183e-007
4.000000000000002e-001	5.582931e-007
4.100000000000002e-001	8.217143e-007
4.200000000000002e-001	1.209427e-006
4.300000000000002e-001	1.780075e-006
4.400000000000002e-001	2.619974e-006
4.500000000000002e-001	3.856167e-006
4.600000000000002e-001	5.675637e-006
4.700000000000003e-001	8.353594e-006
4.800000000000003e-001	1.229510e-005
4.900000000000003e-001	1.809635e-005
5.000000000000002e-001	2.663482e-005
5.100000000000002e-001	3.920203e-005
5.200000000000002e-001	5.769888e-005
5.300000000000003e-001	8.492316e-005
5.400000000000003e-001	1.249928e-004
5.500000000000003e-001	1.839686e-004
5.600000000000003e-001	2.707712e-004
5.700000000000003e-001	3.985302e-004
5.800000000000003e-001	5.865701e-004
5.900000000000003e-001	8.633337e-004
6.000000000000003e-001	1.270684e-003
6.100000000000003e-001	1.870235e-003
6.200000000000003e-001	2.752675e-003
6.300000000000003e-001	4.051480e-003
6.400000000000004e-001	5.963104e-003
6.500000000000004e-001	8.776696e-003
6.600000000000004e-001	1.291784e-002
6.700000000000004e-001	1.901291e-002
6.800000000000004e-001	2.798383e-002
6.900000000000004e-001	4.118754e-002
7.000000000000004e-001	6.062121e-002
7.100000000000004e-001	8.922432e-002
7.200000000000004e-001	1.313233e-001
7.300000000000004e-001	1.932861e-001
7.400000000000004e-001	2.844849e-001
7.500000000000000e-001	4.187144e-001
