v1	Ic(Q1)
0.000000000000000e+000	4.829077e-005
1.000000000000000e-002	2.931705e-004
2.000000000000000e-002	6.326483e-004
3.000000000000000e-002	1.093688e-003
4.000000000000000e-002	1.703920e-003
5.000000000000000e-002	2.487212e-003
6.000000000000001e-002	3.458261e-003
7.000000000000001e-002	4.617799e-003
8.000000000000000e-002	5.950067e-003
9.000000000000000e-002	7.423346e-003
9.999999999999999e-002	8.993044e-003
1.100000000000000e-001	1.060624e-002
1.200000000000000e-001	1.220669e-002
1.300000000000000e-001	1.373974e-002
1.400000000000000e-001	1.515712e-002
1.500000000000000e-001	1.642129e-002
1.600000000000000e-001	1.750882e-002
1.700000000000000e-001	1.841185e-002
1.800000000000000e-001	1.913707e-002
1.900000000000000e-001	1.970226e-002
2.000000000000000e-001	2.013158e-002
2.100000000000001e-001	2.045103e-002
2.200000000000001e-001	2.068502e-002
2.300000000000001e-001	2.085454e-002
2.400000000000001e-001	2.097652e-002
2.500000000000001e-001	2.106406e-002
2.600000000000001e-001	2.112692e-002
2.700000000000001e-001	2.117227e-002
2.800000000000001e-001	2.120526e-002
2.900000000000001e-001	2.122956e-002
3.000000000000001e-001	2.124778e-002
3.100000000000001e-001	2.126174e-002
3.200000000000001e-001	2.127272e-002
3.300000000000001e-001	2.128162e-002
3.400000000000001e-001	2.128907e-002
3.500000000000001e-001	2.129551e-002
3.600000000000002e-001	2.130124e-002
3.700000000000002e-001	2.130647e-002
3.800000000000002e-001	2.131136e-002
3.900000000000002e-001	2.131601e-002
4.000000000000002e-001	2.132048e-002
4.100000000000002e-001	2.132485e-002
4.200000000000002e-001	2.132912e-002
4.300000000000002e-001	2.133334e-002
4.400000000000002e-001	2.133752e-002
4.500000000000002e-001	2.134167e-002
4.600000000000002e-001	2.134580e-002
4.700000000000003e-001	2.134991e-002
4.800000000000003e-001	2.135402e-002
4.900000000000003e-001	2.135812e-002
5.000000000000002e-001	2.136221e-002
5.100000000000002e-001	2.136630e-002
5.200000000000002e-001	2.137039e-002
5.300000000000003e-001	2.137447e-002
5.400000000000003e-001	2.137856e-002
5.500000000000003e-001	2.138264e-002
5.600000000000003e-001	2.138673e-002
5.700000000000003e-001	2.139081e-002
5.800000000000003e-001	2.139489e-002
5.900000000000003e-001	2.139897e-002
6.000000000000003e-001	2.140306e-002
6.100000000000003e-001	2.140714e-002
6.200000000000003e-001	2.141122e-002
6.300000000000003e-001	2.141530e-002
6.400000000000004e-001	2.141939e-002
6.500000000000004e-001	2.142347e-002
6.600000000000004e-001	2.142755e-002
6.700000000000004e-001	2.143163e-002
6.800000000000004e-001	2.143571e-002
6.900000000000004e-001	2.143979e-002
7.000000000000004e-001	2.144388e-002
7.100000000000004e-001	2.144796e-002
7.200000000000004e-001	2.145204e-002
7.300000000000004e-001	2.145612e-002
7.400000000000004e-001	2.146021e-002
7.500000000000004e-001	2.146429e-002
7.600000000000005e-001	2.146837e-002
7.700000000000005e-001	2.147245e-002
7.800000000000005e-001	2.147653e-002
7.900000000000005e-001	2.148061e-002
8.000000000000005e-001	2.148470e-002
8.100000000000005e-001	2.148878e-002
8.200000000000005e-001	2.149286e-002
8.300000000000005e-001	2.149694e-002
8.400000000000005e-001	2.150103e-002
8.500000000000005e-001	2.150511e-002
8.600000000000005e-001	2.150919e-002
8.700000000000006e-001	2.151327e-002
8.800000000000006e-001	2.151735e-002
8.900000000000006e-001	2.152143e-002
9.000000000000006e-001	2.152552e-002
9.100000000000006e-001	2.152960e-002
9.200000000000006e-001	2.153368e-002
9.300000000000006e-001	2.153776e-002
9.400000000000006e-001	2.154185e-002
9.500000000000006e-001	2.154593e-002
9.600000000000006e-001	2.155001e-002
9.700000000000006e-001	2.155409e-002
9.800000000000007e-001	2.155817e-002
9.900000000000007e-001	2.156225e-002
1.000000000000001e+000	2.156634e-002
1.010000000000001e+000	2.157042e-002
1.020000000000001e+000	2.157450e-002
1.030000000000001e+000	2.157858e-002
1.040000000000001e+000	2.158266e-002
1.050000000000001e+000	2.158675e-002
1.060000000000001e+000	2.159083e-002
1.070000000000001e+000	2.159491e-002
1.080000000000001e+000	2.159899e-002
1.090000000000001e+000	2.160308e-002
1.100000000000001e+000	2.160716e-002
1.110000000000001e+000	2.161124e-002
1.120000000000001e+000	2.161532e-002
1.130000000000001e+000	2.161940e-002
1.140000000000001e+000	2.162348e-002
1.150000000000001e+000	2.162757e-002
1.160000000000001e+000	2.163165e-002
1.170000000000001e+000	2.163573e-002
