v2	Ic(Q1)
0.000000000000000e+000	7.210599e-004
1.000000000000000e-002	9.267872e-004
2.000000000000000e-002	1.153163e-003
3.000000000000000e-002	1.389609e-003
4.000000000000000e-002	1.624254e-003
5.000000000000000e-002	1.846043e-003
6.000000000000001e-002	2.046434e-003
7.000000000000001e-002	2.220276e-003
8.000000000000000e-002	2.365799e-003
9.000000000000000e-002	2.483964e-003
9.999999999999999e-002	2.577527e-003
1.100000000000000e-001	2.650122e-003
1.200000000000000e-001	2.705559e-003
1.300000000000000e-001	2.747385e-003
1.400000000000000e-001	2.778664e-003
1.500000000000000e-001	2.801909e-003
1.600000000000000e-001	2.819116e-003
1.700000000000000e-001	2.831828e-003
1.800000000000000e-001	2.841214e-003
1.900000000000000e-001	2.848155e-003
2.000000000000000e-001	2.853304e-003
2.100000000000001e-001	2.857143e-003
2.200000000000001e-001	2.860026e-003
2.300000000000001e-001	2.862213e-003
2.400000000000001e-001	2.863892e-003
2.500000000000001e-001	2.865202e-003
2.600000000000001e-001	2.866244e-003
2.700000000000001e-001	2.867091e-003
2.800000000000001e-001	2.867795e-003
2.900000000000001e-001	2.868396e-003
3.000000000000001e-001	2.868922e-003
3.100000000000001e-001	2.869393e-003
3.200000000000001e-001	2.869825e-003
3.300000000000001e-001	2.870227e-003
3.400000000000001e-001	2.870608e-003
3.500000000000001e-001	2.870973e-003
3.600000000000002e-001	2.871328e-003
3.700000000000002e-001	2.871673e-003
3.800000000000002e-001	2.872013e-003
3.900000000000002e-001	2.872349e-003
4.000000000000002e-001	2.872681e-003
4.100000000000002e-001	2.873011e-003
4.200000000000002e-001	2.873339e-003
4.300000000000002e-001	2.873665e-003
4.400000000000002e-001	2.873991e-003
4.500000000000002e-001	2.874316e-003
4.600000000000002e-001	2.874641e-003
4.700000000000003e-001	2.874965e-003
4.800000000000003e-001	2.875288e-003
4.900000000000003e-001	2.875612e-003
5.000000000000002e-001	2.875935e-003
5.100000000000002e-001	2.876258e-003
5.200000000000002e-001	2.876582e-003
5.300000000000003e-001	2.876905e-003
5.400000000000003e-001	2.877228e-003
5.500000000000003e-001	2.877551e-003
5.600000000000003e-001	2.877874e-003
5.700000000000003e-001	2.878197e-003
5.800000000000003e-001	2.878520e-003
5.900000000000003e-001	2.878843e-003
6.000000000000003e-001	2.879165e-003
6.100000000000003e-001	2.879488e-003
6.200000000000003e-001	2.879811e-003
6.300000000000003e-001	2.880134e-003
6.400000000000004e-001	2.880457e-003
6.500000000000004e-001	2.880780e-003
6.600000000000004e-001	2.881103e-003
6.700000000000004e-001	2.881425e-003
6.800000000000004e-001	2.881748e-003
6.900000000000004e-001	2.882071e-003
7.000000000000004e-001	2.882394e-003
