v1	Ic(Q1)
0.000000000000000e+000	9.803760e-006
1.000000000000000e-002	7.046485e-005
2.000000000000000e-002	1.565201e-004
3.000000000000000e-002	2.769214e-004
4.000000000000000e-002	4.422367e-004
5.000000000000000e-002	6.636455e-004
6.000000000000001e-002	9.509142e-004
7.000000000000001e-002	1.309408e-003
8.000000000000000e-002	1.736844e-003
9.000000000000000e-002	2.221112e-003
9.999999999999999e-002	2.740547e-003
1.100000000000000e-001	3.267133e-003
1.200000000000000e-001	3.771802e-003
1.300000000000000e-001	4.229985e-003
1.400000000000000e-001	4.625538e-003
1.500000000000000e-001	4.951966e-003
1.600000000000000e-001	5.211106e-003
1.700000000000000e-001	5.410370e-003
1.800000000000000e-001	5.559788e-003
1.900000000000000e-001	5.669724e-003
2.000000000000000e-001	5.749519e-003
2.100000000000001e-001	5.806917e-003
2.200000000000001e-001	5.847987e-003
2.300000000000001e-001	5.877318e-003
2.400000000000001e-001	5.898289e-003
2.500000000000001e-001	5.913346e-003
2.600000000000001e-001	5.924237e-003
2.700000000000001e-001	5.932204e-003
2.800000000000001e-001	5.938122e-003
2.900000000000001e-001	5.942604e-003
3.000000000000001e-001	5.946083e-003
3.100000000000001e-001	5.948859e-003
3.200000000000001e-001	5.951145e-003
3.300000000000001e-001	5.953088e-003
3.400000000000001e-001	5.954790e-003
3.500000000000001e-001	5.956325e-003
3.600000000000002e-001	5.957742e-003
3.700000000000002e-001	5.959077e-003
3.800000000000002e-001	5.960353e-003
3.900000000000002e-001	5.961590e-003
4.000000000000002e-001	5.962797e-003
4.100000000000002e-001	5.963985e-003
4.200000000000002e-001	5.965159e-003
4.300000000000002e-001	5.966323e-003
4.400000000000002e-001	5.967481e-003
4.500000000000002e-001	5.968633e-003
4.600000000000002e-001	5.969782e-003
4.700000000000003e-001	5.970928e-003
4.800000000000003e-001	5.972073e-003
4.900000000000003e-001	5.973217e-003
5.000000000000002e-001	5.974359e-003
5.100000000000002e-001	5.975502e-003
5.200000000000002e-001	5.976643e-003
5.300000000000003e-001	5.977785e-003
5.400000000000003e-001	5.978926e-003
5.500000000000003e-001	5.980067e-003
5.600000000000003e-001	5.981208e-003
5.700000000000003e-001	5.982349e-003
5.800000000000003e-001	5.983490e-003
5.900000000000003e-001	5.984630e-003
6.000000000000003e-001	5.985771e-003
6.100000000000003e-001	5.986912e-003
6.200000000000003e-001	5.988053e-003
6.300000000000003e-001	5.989193e-003
6.400000000000004e-001	5.990334e-003
6.500000000000004e-001	5.991475e-003
6.600000000000004e-001	5.992616e-003
6.700000000000004e-001	5.993756e-003
6.800000000000004e-001	5.994897e-003
6.900000000000004e-001	5.996038e-003
7.000000000000004e-001	5.997179e-003
7.100000000000004e-001	5.998319e-003
7.200000000000004e-001	5.999460e-003
7.300000000000004e-001	6.000601e-003
7.400000000000004e-001	6.001742e-003
7.500000000000004e-001	6.002882e-003
7.600000000000005e-001	6.004023e-003
7.700000000000005e-001	6.005164e-003
7.800000000000005e-001	6.006305e-003
7.900000000000005e-001	6.007445e-003
8.000000000000005e-001	6.008586e-003
8.100000000000005e-001	6.009727e-003
8.200000000000005e-001	6.010867e-003
8.300000000000005e-001	6.012008e-003
8.400000000000005e-001	6.013149e-003
8.500000000000005e-001	6.014289e-003
8.600000000000005e-001	6.015430e-003
8.700000000000006e-001	6.016571e-003
8.800000000000006e-001	6.017711e-003
8.900000000000006e-001	6.018852e-003
9.000000000000006e-001	6.019993e-003
9.100000000000006e-001	6.021134e-003
9.200000000000006e-001	6.022274e-003
9.300000000000006e-001	6.023415e-003
9.400000000000006e-001	6.024556e-003
9.500000000000006e-001	6.025697e-003
9.600000000000006e-001	6.026838e-003
9.700000000000006e-001	6.027978e-003
9.800000000000007e-001	6.029119e-003
9.900000000000007e-001	6.030260e-003
1.000000000000001e+000	6.031400e-003
1.010000000000001e+000	6.032541e-003
1.020000000000001e+000	6.033682e-003
1.030000000000001e+000	6.034822e-003
1.040000000000001e+000	6.035963e-003
1.050000000000001e+000	6.037104e-003
1.060000000000001e+000	6.038244e-003
1.070000000000001e+000	6.039385e-003
1.080000000000001e+000	6.040526e-003
1.090000000000001e+000	6.041666e-003
1.100000000000001e+000	6.042807e-003
1.110000000000001e+000	6.043948e-003
1.120000000000001e+000	6.045089e-003
1.130000000000001e+000	6.046230e-003
1.140000000000001e+000	6.047370e-003
1.150000000000001e+000	6.048511e-003
1.160000000000001e+000	6.049652e-003
1.170000000000001e+000	6.050793e-003
1.180000000000001e+000	6.051933e-003
1.190000000000001e+000	6.053074e-003
1.200000000000001e+000	6.054215e-003
1.210000000000001e+000	6.055355e-003
1.220000000000001e+000	6.056496e-003
1.230000000000001e+000	6.057637e-003
1.240000000000001e+000	6.058777e-003
1.250000000000001e+000	6.059918e-003
1.260000000000001e+000	6.061059e-003
1.270000000000001e+000	6.062199e-003
1.280000000000001e+000	6.063340e-003
1.290000000000001e+000	6.064481e-003
1.300000000000001e+000	6.065622e-003
1.310000000000001e+000	6.066762e-003
1.320000000000001e+000	6.067903e-003
1.330000000000001e+000	6.069044e-003
1.340000000000001e+000	6.070185e-003
1.350000000000001e+000	6.071325e-003
1.360000000000001e+000	6.072466e-003
1.370000000000001e+000	6.073607e-003
1.380000000000001e+000	6.074748e-003
1.390000000000001e+000	6.075888e-003
1.400000000000001e+000	6.077029e-003
1.410000000000001e+000	6.078170e-003
1.420000000000001e+000	6.079310e-003
1.430000000000001e+000	6.080451e-003
1.440000000000001e+000	6.081592e-003
1.450000000000001e+000	6.082732e-003
1.460000000000001e+000	6.083873e-003
1.470000000000001e+000	6.085014e-003
1.480000000000001e+000	6.086154e-003
1.490000000000001e+000	6.087295e-003
1.500000000000001e+000	6.088436e-003
1.510000000000001e+000	6.089577e-003
1.520000000000001e+000	6.090717e-003
1.530000000000001e+000	6.091858e-003
1.540000000000001e+000	6.092999e-003
1.550000000000001e+000	6.094140e-003
1.560000000000001e+000	6.095280e-003
1.570000000000001e+000	6.096421e-003
1.580000000000001e+000	6.097562e-003
1.590000000000001e+000	6.098703e-003
1.600000000000001e+000	6.099843e-003
1.610000000000001e+000	6.100984e-003
1.620000000000001e+000	6.102125e-003
1.630000000000001e+000	6.103265e-003
1.640000000000001e+000	6.104406e-003
1.650000000000001e+000	6.105547e-003
1.660000000000001e+000	6.106687e-003
1.670000000000001e+000	6.107828e-003
1.680000000000001e+000	6.108969e-003
1.690000000000001e+000	6.110109e-003
1.700000000000001e+000	6.111250e-003
1.710000000000001e+000	6.112391e-003
1.720000000000001e+000	6.113532e-003
1.730000000000001e+000	6.114672e-003
1.740000000000001e+000	6.115813e-003
1.750000000000001e+000	6.116954e-003
1.760000000000001e+000	6.118095e-003
1.770000000000001e+000	6.119235e-003
1.780000000000001e+000	6.120376e-003
1.790000000000001e+000	6.121517e-003
1.800000000000001e+000	6.122658e-003
1.810000000000001e+000	6.123798e-003
1.820000000000001e+000	6.124939e-003
1.830000000000001e+000	6.126080e-003
1.840000000000001e+000	6.127220e-003
1.850000000000001e+000	6.128361e-003
1.860000000000001e+000	6.129502e-003
1.870000000000001e+000	6.130642e-003
1.880000000000001e+000	6.131783e-003
1.890000000000002e+000	6.132924e-003
1.900000000000002e+000	6.134064e-003
1.910000000000002e+000	6.135205e-003
1.920000000000002e+000	6.136346e-003
1.930000000000002e+000	6.137487e-003
1.940000000000002e+000	6.138627e-003
1.950000000000002e+000	6.139768e-003
1.960000000000002e+000	6.140909e-003
1.970000000000002e+000	6.142050e-003
1.980000000000002e+000	6.143190e-003
1.990000000000002e+000	6.144331e-003
2.000000000000001e+000	6.145472e-003
2.010000000000001e+000	6.146613e-003
2.020000000000001e+000	6.147753e-003
2.030000000000001e+000	6.148894e-003
2.040000000000001e+000	6.150035e-003
2.050000000000000e+000	6.151175e-003
2.060000000000000e+000	6.152316e-003
2.070000000000000e+000	6.153457e-003
2.080000000000000e+000	6.154597e-003
2.089999999999999e+000	6.155738e-003
2.099999999999999e+000	6.156879e-003
2.109999999999999e+000	6.158019e-003
2.119999999999999e+000	6.159160e-003
2.129999999999999e+000	6.160301e-003
2.139999999999998e+000	6.161442e-003
2.149999999999998e+000	6.162582e-003
2.159999999999998e+000	6.163723e-003
2.169999999999998e+000	6.164864e-003
2.179999999999998e+000	6.166005e-003
2.189999999999997e+000	6.167145e-003
2.199999999999997e+000	6.168286e-003
2.209999999999997e+000	6.169427e-003
2.219999999999997e+000	6.170568e-003
2.229999999999996e+000	6.171708e-003
2.239999999999996e+000	6.172849e-003
2.249999999999996e+000	6.173990e-003
2.259999999999996e+000	6.175130e-003
2.269999999999996e+000	6.176271e-003
2.279999999999995e+000	6.177412e-003
2.289999999999995e+000	6.178552e-003
2.299999999999995e+000	6.179693e-003
2.309999999999995e+000	6.180834e-003
2.319999999999995e+000	6.181974e-003
2.329999999999994e+000	6.183115e-003
2.339999999999994e+000	6.184256e-003
2.349999999999994e+000	6.185397e-003
2.359999999999994e+000	6.186537e-003
2.369999999999993e+000	6.187678e-003
2.379999999999993e+000	6.188819e-003
2.389999999999993e+000	6.189960e-003
2.399999999999993e+000	6.191100e-003
