v1	Ic(Q1)
0.000000000000000e+000	-1.381174e-005
1.000000000000000e-002	-7.319370e-006
2.000000000000000e-002	2.206718e-006
3.000000000000000e-002	1.616303e-005
4.000000000000000e-002	3.656477e-005
5.000000000000000e-002	6.629249e-005
6.000000000000001e-002	1.094061e-004
7.000000000000001e-002	1.715088e-004
8.000000000000000e-002	2.600921e-004
9.000000000000000e-002	3.846980e-004
9.999999999999999e-002	5.565808e-004
1.100000000000000e-001	7.873907e-004
1.200000000000000e-001	1.086393e-003
1.300000000000000e-001	1.456214e-003
1.400000000000000e-001	1.888306e-003
1.500000000000000e-001	2.360812e-003
1.600000000000000e-001	2.841537e-003
1.700000000000000e-001	3.296032e-003
1.800000000000000e-001	3.696902e-003
1.900000000000000e-001	4.029405e-003
2.000000000000000e-001	4.291453e-003
2.100000000000001e-001	4.489801e-003
2.200000000000001e-001	4.635420e-003
2.300000000000001e-001	4.739977e-003
2.400000000000001e-001	4.813889e-003
2.500000000000001e-001	4.865593e-003
2.600000000000001e-001	4.901527e-003
2.700000000000001e-001	4.926420e-003
2.800000000000001e-001	4.943655e-003
2.900000000000001e-001	4.955614e-003
3.000000000000001e-001	4.963954e-003
3.100000000000001e-001	4.969820e-003
3.200000000000001e-001	4.973996e-003
3.300000000000001e-001	4.977021e-003
3.400000000000001e-001	4.979264e-003
3.500000000000001e-001	4.980972e-003
3.600000000000002e-001	4.982318e-003
3.700000000000002e-001	4.983418e-003
3.800000000000002e-001	4.984350e-003
3.900000000000002e-001	4.985169e-003
4.000000000000002e-001	4.985909e-003
4.100000000000002e-001	4.986598e-003
4.200000000000002e-001	4.987250e-003
4.300000000000002e-001	4.987879e-003
4.400000000000002e-001	4.988491e-003
4.500000000000002e-001	4.989091e-003
4.600000000000002e-001	4.989684e-003
4.700000000000003e-001	4.990272e-003
4.800000000000003e-001	4.990856e-003
4.900000000000003e-001	4.991438e-003
5.000000000000002e-001	4.992018e-003
5.100000000000002e-001	4.992598e-003
5.200000000000002e-001	4.993176e-003
5.300000000000003e-001	4.993754e-003
5.400000000000003e-001	4.994332e-003
5.500000000000003e-001	4.994909e-003
5.600000000000003e-001	4.995486e-003
5.700000000000003e-001	4.996064e-003
5.800000000000003e-001	4.996641e-003
5.900000000000003e-001	4.997218e-003
6.000000000000003e-001	4.997795e-003
6.100000000000003e-001	4.998371e-003
6.200000000000003e-001	4.998948e-003
6.300000000000003e-001	4.999525e-003
6.400000000000004e-001	5.000102e-003
6.500000000000004e-001	5.000679e-003
6.600000000000004e-001	5.001256e-003
6.700000000000004e-001	5.001833e-003
6.800000000000004e-001	5.002410e-003
6.900000000000004e-001	5.002987e-003
7.000000000000004e-001	5.003564e-003
7.100000000000004e-001	5.004141e-003
7.200000000000004e-001	5.004718e-003
7.300000000000004e-001	5.005294e-003
7.400000000000004e-001	5.005871e-003
7.500000000000004e-001	5.006448e-003
7.600000000000005e-001	5.007025e-003
7.700000000000005e-001	5.007602e-003
7.800000000000005e-001	5.008179e-003
7.900000000000005e-001	5.008756e-003
8.000000000000005e-001	5.009332e-003
8.100000000000005e-001	5.009909e-003
8.200000000000005e-001	5.010486e-003
8.300000000000005e-001	5.011063e-003
8.400000000000005e-001	5.011640e-003
8.500000000000005e-001	5.012217e-003
8.600000000000005e-001	5.012794e-003
8.700000000000006e-001	5.013370e-003
8.800000000000006e-001	5.013947e-003
8.900000000000006e-001	5.014524e-003
9.000000000000006e-001	5.015101e-003
9.100000000000006e-001	5.015678e-003
9.200000000000006e-001	5.016255e-003
9.300000000000006e-001	5.016832e-003
9.400000000000006e-001	5.017409e-003
9.500000000000006e-001	5.017986e-003
9.600000000000006e-001	5.018563e-003
9.700000000000006e-001	5.019139e-003
9.800000000000007e-001	5.019716e-003
9.900000000000007e-001	5.020293e-003
1.000000000000001e+000	5.020870e-003
1.010000000000001e+000	5.021447e-003
1.020000000000001e+000	5.022024e-003
1.030000000000001e+000	5.022601e-003
1.040000000000001e+000	5.023178e-003
1.050000000000001e+000	5.023755e-003
1.060000000000001e+000	5.024332e-003
1.070000000000001e+000	5.024909e-003
1.080000000000001e+000	5.025485e-003
1.090000000000001e+000	5.026062e-003
1.100000000000001e+000	5.026639e-003
1.110000000000001e+000	5.027216e-003
1.120000000000001e+000	5.027793e-003
1.130000000000001e+000	5.028370e-003
1.140000000000001e+000	5.028947e-003
1.150000000000001e+000	5.029523e-003
1.160000000000001e+000	5.030100e-003
1.170000000000001e+000	5.030677e-003
1.180000000000001e+000	5.031254e-003
1.190000000000001e+000	5.031831e-003
1.200000000000001e+000	5.032408e-003
1.210000000000001e+000	5.032985e-003
1.220000000000001e+000	5.033561e-003
1.230000000000001e+000	5.034138e-003
1.240000000000001e+000	5.034715e-003
1.250000000000001e+000	5.035292e-003
1.260000000000001e+000	5.035869e-003
1.270000000000001e+000	5.036446e-003
1.280000000000001e+000	5.037023e-003
1.290000000000001e+000	5.037600e-003
1.300000000000001e+000	5.038177e-003
1.310000000000001e+000	5.038754e-003
1.320000000000001e+000	5.039331e-003
1.330000000000001e+000	5.039908e-003
1.340000000000001e+000	5.040484e-003
1.350000000000001e+000	5.041061e-003
1.360000000000001e+000	5.041638e-003
1.370000000000001e+000	5.042215e-003
1.380000000000001e+000	5.042792e-003
1.390000000000001e+000	5.043369e-003
1.400000000000001e+000	5.043946e-003
1.410000000000001e+000	5.044523e-003
1.420000000000001e+000	5.045099e-003
1.430000000000001e+000	5.045676e-003
1.440000000000001e+000	5.046253e-003
