v2	Ic(Q1)
0.000000000000000e+000	1.276202e-003
1.000000000000000e-002	1.617799e-003
2.000000000000000e-002	1.988739e-003
3.000000000000000e-002	2.373294e-003
4.000000000000000e-002	2.754442e-003
5.000000000000000e-002	3.116344e-003
6.000000000000001e-002	3.446343e-003
7.000000000000001e-002	3.736150e-003
8.000000000000000e-002	3.982097e-003
9.000000000000000e-002	4.184572e-003
9.999999999999999e-002	4.346946e-003
1.100000000000000e-001	4.474336e-003
1.200000000000000e-001	4.572518e-003
1.300000000000000e-001	4.647140e-003
1.400000000000000e-001	4.703259e-003
1.500000000000000e-001	4.745139e-003
1.600000000000000e-001	4.776231e-003
1.700000000000000e-001	4.799241e-003
1.800000000000000e-001	4.816250e-003
1.900000000000000e-001	4.828832e-003
2.000000000000000e-001	4.838160e-003
2.100000000000001e-001	4.845107e-003
2.200000000000001e-001	4.850314e-003
2.300000000000001e-001	4.854253e-003
2.400000000000001e-001	4.857269e-003
2.500000000000001e-001	4.859611e-003
2.600000000000001e-001	4.861466e-003
2.700000000000001e-001	4.862964e-003
2.800000000000001e-001	4.864204e-003
2.900000000000001e-001	4.865256e-003
3.000000000000001e-001	4.866172e-003
3.100000000000001e-001	4.866987e-003
3.200000000000001e-001	4.867731e-003
3.300000000000001e-001	4.868422e-003
3.400000000000001e-001	4.869074e-003
3.500000000000001e-001	4.869698e-003
3.600000000000002e-001	4.870302e-003
3.700000000000002e-001	4.870891e-003
3.800000000000002e-001	4.871469e-003
3.900000000000002e-001	4.872040e-003
4.000000000000002e-001	4.872604e-003
4.100000000000002e-001	4.873164e-003
4.200000000000002e-001	4.873721e-003
4.300000000000002e-001	4.874276e-003
4.400000000000002e-001	4.874829e-003
4.500000000000002e-001	4.875381e-003
4.600000000000002e-001	4.875931e-003
4.700000000000003e-001	4.876481e-003
4.800000000000003e-001	4.877031e-003
4.900000000000003e-001	4.877580e-003
5.000000000000002e-001	4.878129e-003
5.100000000000002e-001	4.878678e-003
5.200000000000002e-001	4.879226e-003
5.300000000000003e-001	4.879775e-003
5.400000000000003e-001	4.880323e-003
5.500000000000003e-001	4.880871e-003
5.600000000000003e-001	4.881420e-003
5.700000000000003e-001	4.881968e-003
5.800000000000003e-001	4.882516e-003
5.900000000000003e-001	4.883064e-003
6.000000000000003e-001	4.883612e-003
6.100000000000003e-001	4.884160e-003
6.200000000000003e-001	4.884708e-003
6.300000000000003e-001	4.885256e-003
6.400000000000004e-001	4.885804e-003
6.500000000000004e-001	4.886352e-003
6.600000000000004e-001	4.886900e-003
6.700000000000004e-001	4.887448e-003
6.800000000000004e-001	4.887996e-003
6.900000000000004e-001	4.888544e-003
7.000000000000004e-001	4.889092e-003
7.100000000000004e-001	4.889640e-003
7.200000000000004e-001	4.890188e-003
7.300000000000004e-001	4.890736e-003
7.400000000000004e-001	4.891284e-003
7.500000000000004e-001	4.891832e-003
7.600000000000005e-001	4.892380e-003
7.700000000000005e-001	4.892929e-003
7.800000000000005e-001	4.893476e-003
7.900000000000005e-001	4.894024e-003
8.000000000000005e-001	4.894572e-003
8.100000000000005e-001	4.895120e-003
8.200000000000005e-001	4.895668e-003
8.300000000000005e-001	4.896217e-003
8.400000000000005e-001	4.896765e-003
8.500000000000005e-001	4.897312e-003
8.600000000000005e-001	4.897860e-003
8.700000000000006e-001	4.898408e-003
8.800000000000006e-001	4.898957e-003
8.900000000000006e-001	4.899505e-003
9.000000000000006e-001	4.900053e-003
9.100000000000006e-001	4.900600e-003
9.200000000000006e-001	4.901148e-003
9.300000000000006e-001	4.901696e-003
9.400000000000006e-001	4.902245e-003
9.500000000000006e-001	4.902793e-003
9.600000000000006e-001	4.903341e-003
9.700000000000006e-001	4.903888e-003
9.800000000000007e-001	4.904436e-003
9.900000000000007e-001	4.904984e-003
1.000000000000001e+000	4.905533e-003
1.010000000000001e+000	4.906081e-003
1.020000000000001e+000	4.906629e-003
1.030000000000001e+000	4.907176e-003
1.040000000000001e+000	4.907724e-003
1.050000000000001e+000	4.908273e-003
1.060000000000001e+000	4.908821e-003
1.070000000000001e+000	4.909369e-003
1.080000000000001e+000	4.909917e-003
1.090000000000001e+000	4.910464e-003
1.100000000000001e+000	4.911012e-003
1.110000000000001e+000	4.911561e-003
1.120000000000001e+000	4.912109e-003
1.130000000000001e+000	4.912657e-003
1.140000000000001e+000	4.913205e-003
1.150000000000001e+000	4.913753e-003
1.160000000000001e+000	4.914301e-003
1.170000000000001e+000	4.914849e-003
1.180000000000001e+000	4.915397e-003
1.190000000000001e+000	4.915945e-003
1.200000000000001e+000	4.916493e-003
1.210000000000001e+000	4.917041e-003
1.220000000000001e+000	4.917589e-003
1.230000000000001e+000	4.918137e-003
1.240000000000001e+000	4.918685e-003
1.250000000000001e+000	4.919233e-003
1.260000000000001e+000	4.919781e-003
1.270000000000001e+000	4.920329e-003
1.280000000000001e+000	4.920877e-003
