v1	Ic(Q1)
0.000000000000000e+000	-1.872797e-005
1.000000000000000e-001	7.230110e-004
2.000000000000000e-001	4.364111e-003
3.000000000000000e-001	4.859095e-003
4.000000000000000e-001	4.875672e-003
5.000000000000000e-001	4.881054e-003
6.000000000000000e-001	4.886200e-003
7.000000000000000e-001	4.891341e-003
7.999999999999999e-001	4.896482e-003
8.999999999999999e-001	4.901623e-003
9.999999999999999e-001	4.906764e-003
1.100000000000000e+000	4.911905e-003
1.200000000000000e+000	4.917047e-003
1.300000000000000e+000	4.922187e-003
1.400000000000000e+000	4.927329e-003
1.500000000000000e+000	4.932470e-003
1.600000000000000e+000	4.937611e-003
1.700000000000000e+000	4.942752e-003
1.800000000000001e+000	4.947893e-003
1.900000000000001e+000	4.953034e-003
2.000000000000000e+000	4.958175e-003
2.100000000000001e+000	4.963316e-003
2.200000000000001e+000	4.968457e-003
2.300000000000001e+000	4.973598e-003
2.400000000000001e+000	4.978740e-003
2.500000000000001e+000	4.983881e-003
2.600000000000001e+000	4.989022e-003
2.700000000000001e+000	4.994163e-003
2.800000000000001e+000	4.999304e-003
2.900000000000001e+000	5.004445e-003
3.000000000000001e+000	5.009586e-003
3.100000000000001e+000	5.014727e-003
3.200000000000002e+000	5.019868e-003
3.300000000000002e+000	5.025010e-003
3.400000000000002e+000	5.030151e-003
3.500000000000002e+000	5.035292e-003
3.600000000000002e+000	5.040433e-003
3.700000000000002e+000	5.045574e-003
3.800000000000002e+000	5.050715e-003
3.900000000000002e+000	5.055856e-003
4.000000000000002e+000	5.060997e-003
4.100000000000001e+000	5.066138e-003
4.200000000000001e+000	5.071280e-003
4.300000000000001e+000	5.076420e-003
4.400000000000000e+000	5.081562e-003
4.500000000000000e+000	5.086703e-003
4.600000000000000e+000	5.091844e-003
4.699999999999999e+000	5.096985e-003
4.799999999999999e+000	5.102126e-003
4.899999999999999e+000	5.107267e-003
5.000000000000000e+000	5.112408e-003
