v2	Ic(Q1)
0.000000000000000e+000	1.464078e-012
1.000000000000000e-002	1.504914e-012
2.000000000000000e-002	1.569737e-012
3.000000000000000e-002	1.669866e-012
4.000000000000000e-002	1.821958e-012
5.000000000000000e-002	2.050534e-012
6.000000000000001e-002	2.391681e-012
7.000000000000001e-002	2.898517e-012
8.000000000000000e-002	3.649222e-012
9.000000000000000e-002	4.758865e-012
9.999999999999999e-002	6.396811e-012
1.100000000000000e-001	8.812338e-012
1.200000000000000e-001	1.237235e-011
1.300000000000000e-001	1.761687e-011
1.400000000000000e-001	2.534072e-011
1.500000000000000e-001	3.671380e-011
1.600000000000000e-001	5.345796e-011
1.700000000000000e-001	7.810756e-011
1.800000000000000e-001	1.143928e-010
1.900000000000000e-001	1.678039e-010
2.000000000000000e-001	2.464216e-010
2.100000000000001e-001	3.621398e-010
2.200000000000001e-001	5.324643e-010
2.300000000000001e-001	7.831609e-010
2.400000000000001e-001	1.152153e-009
2.500000000000001e-001	1.695259e-009
2.600000000000001e-001	2.494633e-009
2.700000000000001e-001	3.671196e-009
2.800000000000001e-001	5.402923e-009
2.900000000000001e-001	7.951770e-009
3.000000000000001e-001	1.170329e-008
3.100000000000001e-001	1.722497e-008
3.200000000000001e-001	2.535205e-008
3.300000000000001e-001	3.731389e-008
3.400000000000001e-001	5.491991e-008
3.500000000000001e-001	8.083332e-008
3.600000000000002e-001	1.189739e-007
3.700000000000002e-001	1.751112e-007
3.800000000000002e-001	2.577367e-007
3.900000000000002e-001	3.793490e-007
4.000000000000002e-001	5.583440e-007
4.100000000000002e-001	8.217974e-007
4.200000000000002e-001	1.209561e-006
4.300000000000002e-001	1.780291e-006
4.400000000000002e-001	2.620318e-006
4.500000000000002e-001	3.856711e-006
4.600000000000002e-001	5.676495e-006
4.700000000000003e-001	8.354941e-006
4.800000000000003e-001	1.229721e-005
4.900000000000003e-001	1.809963e-005
5.000000000000002e-001	2.663992e-005
5.100000000000002e-001	3.920992e-005
5.200000000000002e-001	5.771107e-005
5.300000000000003e-001	8.494197e-005
5.400000000000003e-001	1.250217e-004
5.500000000000003e-001	1.840130e-004
5.600000000000003e-001	2.708393e-004
5.700000000000003e-001	3.986344e-004
5.800000000000003e-001	5.867296e-004
5.900000000000003e-001	8.635770e-004
6.000000000000003e-001	1.271054e-003
6.100000000000003e-001	1.870800e-003
6.200000000000003e-001	2.753534e-003
6.300000000000003e-001	4.052784e-003
6.400000000000004e-001	5.965084e-003
6.500000000000004e-001	8.779699e-003
6.600000000000004e-001	1.292239e-002
6.700000000000004e-001	1.901979e-002
6.800000000000004e-001	2.799425e-002
6.900000000000004e-001	4.120329e-002
7.000000000000004e-001	6.064500e-002
7.100000000000004e-001	8.926024e-002
7.200000000000004e-001	1.313775e-001
7.300000000000004e-001	1.933678e-001
7.400000000000004e-001	2.846081e-001
7.500000000000000e-001	4.188999e-001
