vd	Id(M1)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-001	8.886057e-005
2.000000000000000e-001	1.703013e-004
3.000000000000000e-001	2.443029e-004
4.000000000000000e-001	3.108461e-004
5.000000000000000e-001	3.699116e-004
6.000000000000000e-001	4.214800e-004
7.000000000000000e-001	4.655322e-004
7.999999999999999e-001	5.020487e-004
8.999999999999999e-001	5.310103e-004
9.999999999999999e-001	5.523976e-004
1.100000000000000e+000	5.661914e-004
1.200000000000000e+000	5.723725e-004
1.300000000000000e+000	5.730878e-004
1.400000000000000e+000	5.735703e-004
1.500000000000000e+000	5.740527e-004
1.600000000000000e+000	5.745352e-004
1.700000000000000e+000	5.750176e-004
1.800000000000001e+000	5.755001e-004
1.900000000000001e+000	5.759826e-004
2.000000000000000e+000	5.764650e-004
2.100000000000001e+000	5.769475e-004
2.200000000000001e+000	5.774299e-004
2.300000000000001e+000	5.779123e-004
2.400000000000001e+000	5.783948e-004
2.500000000000001e+000	5.788772e-004
2.600000000000001e+000	5.793597e-004
2.700000000000001e+000	5.798421e-004
2.800000000000001e+000	5.803246e-004
2.900000000000001e+000	5.808070e-004
3.000000000000001e+000	5.812895e-004
3.100000000000001e+000	5.817720e-004
3.200000000000002e+000	5.822544e-004
3.300000000000002e+000	5.827369e-004
3.400000000000002e+000	5.832193e-004
3.500000000000002e+000	5.837018e-004
3.600000000000002e+000	5.841842e-004
3.700000000000002e+000	5.846667e-004
3.800000000000002e+000	5.851491e-004
3.900000000000002e+000	5.856316e-004
4.000000000000002e+000	5.861140e-004
4.100000000000001e+000	5.865965e-004
4.200000000000001e+000	5.870789e-004
4.300000000000001e+000	5.875613e-004
4.400000000000000e+000	5.880438e-004
4.500000000000000e+000	5.885263e-004
4.600000000000000e+000	5.890087e-004
4.699999999999999e+000	5.894912e-004
4.799999999999999e+000	5.899736e-004
4.899999999999999e+000	5.904561e-004
5.000000000000000e+000	5.909386e-004
