vg	Id(M1)
-5.000000000000000e+000	-6.013440e-003
-4.900000000000000e+000	-5.684000e-003
-4.800000000000001e+000	-5.363840e-003
-4.700000000000001e+000	-5.052960e-003
-4.600000000000001e+000	-4.751360e-003
-4.500000000000002e+000	-4.459040e-003
-4.400000000000002e+000	-4.176000e-003
-4.300000000000003e+000	-3.902240e-003
-4.200000000000003e+000	-3.637760e-003
-4.100000000000003e+000	-3.382560e-003
-4.000000000000004e+000	-3.136640e-003
-3.900000000000004e+000	-2.900000e-003
-3.800000000000003e+000	-2.672640e-003
-3.700000000000003e+000	-2.454560e-003
-3.600000000000003e+000	-2.245760e-003
-3.500000000000003e+000	-2.046240e-003
-3.400000000000003e+000	-1.856000e-003
-3.300000000000003e+000	-1.675040e-003
-3.200000000000003e+000	-1.503360e-003
-3.100000000000003e+000	-1.340960e-003
-3.000000000000003e+000	-1.187840e-003
-2.900000000000003e+000	-1.044000e-003
-2.800000000000003e+000	-9.094400e-004
-2.700000000000002e+000	-7.841600e-004
-2.600000000000002e+000	-6.681600e-004
-2.500000000000002e+000	-5.614400e-004
-2.400000000000002e+000	-4.640000e-004
-2.300000000000002e+000	-3.758400e-004
-2.200000000000002e+000	-2.969600e-004
-2.100000000000002e+000	-2.273600e-004
-2.000000000000002e+000	-1.670400e-004
-1.900000000000002e+000	-1.160000e-004
-1.800000000000002e+000	-7.424001e-005
-1.700000000000002e+000	-4.176001e-005
-1.600000000000001e+000	-1.856001e-005
-1.500000000000001e+000	-4.640010e-006
-1.400000000000001e+000	-1.000100e-011
-1.300000000000001e+000	-1.000100e-011
-1.200000000000001e+000	-1.000100e-011
-1.100000000000001e+000	-1.000100e-011
-1.000000000000001e+000	-1.000100e-011
-9.000000000000009e-001	-1.000100e-011
-8.000000000000009e-001	-1.000100e-011
-7.000000000000010e-001	-1.000100e-011
-6.000000000000010e-001	-1.000100e-011
-5.000000000000010e-001	-1.000100e-011
-4.000000000000010e-001	-1.000100e-011
-3.000000000000010e-001	-1.000100e-011
-2.000000000000010e-001	-1.000100e-011
-1.000000000000010e-001	-1.000100e-011
0.000000000000000e+000	-1.000100e-011
