v1	Ic(Q1)
0.000000000000000e+000	1.377832e-012
1.000000000000000e-002	1.377190e-012
2.000000000000000e-002	1.381040e-012
3.000000000000000e-002	1.391437e-012
4.000000000000000e-002	1.411716e-012
5.000000000000000e-002	1.446242e-012
6.000000000000001e-002	1.501946e-012
7.000000000000001e-002	1.588582e-012
8.000000000000000e-002	1.721552e-012
9.000000000000000e-002	1.922419e-012
9.999999999999999e-002	2.223270e-012
1.100000000000000e-001	2.672108e-012
1.200000000000000e-001	3.338755e-012
1.300000000000000e-001	4.327303e-012
1.400000000000000e-001	5.789974e-012
1.500000000000000e-001	7.953175e-012
1.600000000000000e-001	1.114882e-011
1.700000000000000e-001	1.586785e-011
1.800000000000000e-001	2.283478e-011
1.900000000000000e-001	3.311738e-011
2.000000000000000e-001	4.829162e-011
2.100000000000001e-001	7.068257e-011
2.200000000000001e-001	1.037199e-010
2.300000000000001e-001	1.524630e-010
2.400000000000001e-001	2.243768e-010
2.500000000000001e-001	3.304735e-010
2.600000000000001e-001	4.869981e-010
2.700000000000001e-001	7.179174e-010
2.800000000000001e-001	1.058589e-009
2.900000000000001e-001	1.561171e-009
3.000000000000001e-001	2.302616e-009
3.100000000000001e-001	3.396443e-009
3.200000000000001e-001	5.010126e-009
3.300000000000001e-001	7.390729e-009
3.400000000000001e-001	1.090274e-008
3.500000000000001e-001	1.608385e-008
3.600000000000002e-001	2.372733e-008
3.700000000000002e-001	3.500341e-008
3.800000000000002e-001	5.163850e-008
3.900000000000002e-001	7.617948e-008
4.000000000000002e-001	1.123836e-007
4.100000000000002e-001	1.657936e-007
4.200000000000002e-001	2.445865e-007
4.300000000000002e-001	3.608251e-007
4.400000000000002e-001	5.323040e-007
4.500000000000002e-001	7.852738e-007
4.600000000000002e-001	1.158457e-006
4.700000000000003e-001	1.708973e-006
4.800000000000003e-001	2.521070e-006
4.900000000000003e-001	3.719003e-006
5.000000000000002e-001	5.486008e-006
5.100000000000002e-001	8.092245e-006
5.200000000000002e-001	1.193593e-005
5.300000000000003e-001	1.760378e-005
5.400000000000003e-001	2.595974e-005
5.500000000000003e-001	3.827487e-005
5.600000000000003e-001	5.641671e-005
5.700000000000003e-001	8.312402e-005
5.800000000000003e-001	1.224019e-004
5.900000000000003e-001	1.800833e-004
6.000000000000003e-001	2.646123e-004
6.100000000000003e-001	3.881060e-004
6.200000000000003e-001	5.677326e-004
6.300000000000003e-001	8.273758e-004
6.400000000000004e-001	1.199407e-003
6.500000000000004e-001	1.726123e-003
6.600000000000004e-001	2.460063e-003
6.700000000000004e-001	3.462160e-003
6.800000000000004e-001	4.796889e-003
6.900000000000004e-001	6.524598e-003
7.000000000000004e-001	8.692828e-003
7.100000000000004e-001	1.132954e-002
7.200000000000004e-001	1.444063e-002
7.300000000000004e-001	1.801213e-002
7.400000000000004e-001	2.201539e-002
7.500000000000004e-001	2.641314e-002
7.600000000000005e-001	3.116465e-002
7.700000000000005e-001	3.622942e-002
7.800000000000005e-001	4.156936e-002
7.900000000000005e-001	4.714989e-002
8.000000000000005e-001	5.294028e-002
8.100000000000005e-001	5.891357e-002
8.200000000000005e-001	6.504624e-002
8.300000000000005e-001	7.131791e-002
8.400000000000005e-001	7.771084e-002
8.500000000000005e-001	8.420967e-002
8.600000000000005e-001	9.080098e-002
8.700000000000006e-001	9.747308e-002
8.800000000000006e-001	1.042157e-001
8.900000000000006e-001	1.110199e-001
9.000000000000000e-001	1.178778e-001
