v2	Ic(Q1)
0.000000000000000e+000	1.325384e-012
1.000000000000000e-002	1.337375e-012
2.000000000000000e-002	1.360467e-012
3.000000000000000e-002	1.398215e-012
4.000000000000000e-002	1.458611e-012
5.000000000000000e-002	1.552092e-012
6.000000000000001e-002	1.693090e-012
7.000000000000001e-002	1.904699e-012
8.000000000000000e-002	2.219558e-012
9.000000000000000e-002	2.686074e-012
9.999999999999999e-002	3.374634e-012
1.100000000000000e-001	4.388712e-012
1.200000000000000e-001	5.880185e-012
1.300000000000000e-001	8.071321e-012
1.400000000000000e-001	1.128786e-011
1.500000000000000e-001	1.600897e-011
1.600000000000000e-001	2.293477e-011
1.700000000000000e-001	3.309308e-011
1.800000000000000e-001	4.799072e-011
1.900000000000000e-001	6.983591e-011
2.000000000000000e-001	1.018676e-010
2.100000000000001e-001	1.488323e-010
2.200000000000001e-001	2.176903e-010
2.300000000000001e-001	3.186451e-010
2.400000000000001e-001	4.666565e-010
2.500000000000001e-001	6.836551e-010
2.600000000000001e-001	1.001794e-009
2.700000000000001e-001	1.468211e-009
2.800000000000001e-001	2.152014e-009
2.900000000000001e-001	3.154517e-009
3.000000000000001e-001	4.624257e-009
3.100000000000001e-001	6.778994e-009
3.200000000000001e-001	9.937983e-009
3.300000000000001e-001	1.456927e-008
3.400000000000001e-001	2.135904e-008
3.500000000000001e-001	3.131328e-008
3.600000000000002e-001	4.590683e-008
3.700000000000002e-001	6.730191e-008
3.800000000000002e-001	9.866844e-008
3.900000000000002e-001	1.446537e-007
4.000000000000002e-001	2.120710e-007
4.100000000000002e-001	3.109088e-007
4.200000000000002e-001	4.558107e-007
4.300000000000002e-001	6.682448e-007
4.400000000000002e-001	9.796839e-007
4.500000000000002e-001	1.436268e-006
4.600000000000002e-001	2.105635e-006
4.700000000000003e-001	3.086943e-006
4.800000000000003e-001	4.525542e-006
4.900000000000003e-001	6.634491e-006
5.000000000000002e-001	9.726065e-006
5.100000000000002e-001	1.425791e-005
5.200000000000002e-001	2.090061e-005
5.300000000000003e-001	3.063646e-005
5.400000000000003e-001	4.490392e-005
5.500000000000003e-001	6.580821e-005
5.600000000000003e-001	9.642797e-005
5.700000000000003e-001	1.412600e-004
5.800000000000003e-001	2.068615e-004
5.900000000000003e-001	3.027700e-004
6.000000000000003e-001	4.428078e-004
6.100000000000003e-001	6.469010e-004
6.200000000000003e-001	9.435563e-004
6.300000000000003e-001	1.373110e-003
6.400000000000004e-001	1.991746e-003
6.500000000000004e-001	2.876012e-003
6.600000000000004e-001	4.127042e-003
6.700000000000004e-001	5.872987e-003
6.800000000000004e-001	8.267478e-003
6.900000000000004e-001	1.148204e-002
7.000000000000004e-001	1.569185e-002
7.100000000000004e-001	2.105732e-002
7.200000000000004e-001	2.770673e-002
7.300000000000004e-001	3.572510e-002
7.400000000000004e-001	4.515206e-002
7.500000000000004e-001	5.598695e-002
7.600000000000005e-001	6.819783e-002
7.700000000000005e-001	8.173104e-002
7.800000000000005e-001	9.651931e-002
7.900000000000005e-001	1.124879e-001
8.000000000000005e-001	1.295592e-001
8.100000000000005e-001	1.476550e-001
8.200000000000005e-001	1.666989e-001
8.300000000000005e-001	1.866176e-001
8.400000000000005e-001	2.073409e-001
8.500000000000005e-001	2.288028e-001
8.600000000000005e-001	2.509415e-001
8.700000000000006e-001	2.736992e-001
8.800000000000006e-001	2.970221e-001
8.900000000000006e-001	3.208607e-001
9.000000000000000e-001	3.451689e-001
