v1	Ic(Q1)
0.000000000000000e+000	6.246780e-005
1.000000000000000e-002	3.700569e-004
2.000000000000000e-002	7.933657e-004
3.000000000000000e-002	1.363084e-003
4.000000000000000e-002	2.109249e-003
5.000000000000000e-002	3.056076e-003
6.000000000000001e-002	4.216412e-003
7.000000000000001e-002	5.587588e-003
8.000000000000000e-002	7.150060e-003
9.000000000000000e-002	8.868987e-003
9.999999999999999e-002	1.069777e-002
1.100000000000000e-001	1.258235e-002
1.200000000000000e-001	1.446535e-002
1.300000000000000e-001	1.628996e-002
1.400000000000000e-001	1.800373e-002
1.500000000000000e-001	1.956239e-002
1.600000000000000e-001	2.093357e-002
1.700000000000000e-001	2.209960e-002
1.800000000000000e-001	2.305857e-002
1.900000000000000e-001	2.382267e-002
2.000000000000000e-001	2.441445e-002
2.100000000000001e-001	2.486184e-002
2.200000000000001e-001	2.519360e-002
2.300000000000001e-001	2.543609e-002
2.400000000000001e-001	2.561159e-002
2.500000000000001e-001	2.573790e-002
2.600000000000001e-001	2.582866e-002
2.700000000000001e-001	2.589401e-002
2.800000000000001e-001	2.594135e-002
2.900000000000001e-001	2.597599e-002
3.000000000000001e-001	2.600172e-002
3.100000000000001e-001	2.602120e-002
3.200000000000001e-001	2.603632e-002
3.300000000000001e-001	2.604838e-002
3.400000000000001e-001	2.605832e-002
3.500000000000001e-001	2.606677e-002
3.600000000000002e-001	2.607417e-002
3.700000000000002e-001	2.608086e-002
3.800000000000002e-001	2.608704e-002
3.900000000000002e-001	2.609286e-002
4.000000000000002e-001	2.609843e-002
4.100000000000002e-001	2.610384e-002
4.200000000000002e-001	2.610912e-002
4.300000000000002e-001	2.611431e-002
4.400000000000002e-001	2.611945e-002
4.500000000000002e-001	2.612455e-002
4.600000000000002e-001	2.612961e-002
4.700000000000003e-001	2.613466e-002
4.800000000000003e-001	2.613969e-002
4.900000000000003e-001	2.614471e-002
5.000000000000002e-001	2.614973e-002
5.100000000000002e-001	2.615474e-002
5.200000000000002e-001	2.615974e-002
5.300000000000003e-001	2.616475e-002
5.400000000000003e-001	2.616975e-002
5.500000000000003e-001	2.617475e-002
5.600000000000003e-001	2.617975e-002
5.700000000000003e-001	2.618475e-002
5.800000000000003e-001	2.618975e-002
5.900000000000003e-001	2.619474e-002
6.000000000000003e-001	2.619974e-002
6.100000000000003e-001	2.620474e-002
6.200000000000003e-001	2.620974e-002
6.300000000000003e-001	2.621474e-002
6.400000000000004e-001	2.621973e-002
6.500000000000004e-001	2.622473e-002
6.600000000000004e-001	2.622973e-002
6.700000000000004e-001	2.623473e-002
6.800000000000004e-001	2.623972e-002
6.900000000000004e-001	2.624472e-002
7.000000000000004e-001	2.624972e-002
7.100000000000004e-001	2.625472e-002
7.200000000000004e-001	2.625971e-002
