v1	Ic(Q1)
0.000000000000000e+000	-6.905870e-005
1.000000000000000e-002	-3.661248e-005
2.000000000000000e-002	1.099502e-005
3.000000000000000e-002	8.074298e-005
4.000000000000000e-002	1.827026e-004
5.000000000000000e-002	3.312696e-004
6.000000000000001e-002	5.467340e-004
7.000000000000001e-002	8.570977e-004
8.000000000000000e-002	1.299801e-003
9.000000000000000e-002	1.922530e-003
9.999999999999999e-002	2.781531e-003
1.100000000000000e-001	3.935025e-003
1.200000000000000e-001	5.429317e-003
1.300000000000000e-001	7.277529e-003
1.400000000000000e-001	9.436950e-003
1.500000000000000e-001	1.179834e-002
1.600000000000000e-001	1.420081e-002
1.700000000000000e-001	1.647219e-002
1.800000000000000e-001	1.847558e-002
1.900000000000000e-001	2.013729e-002
2.000000000000000e-001	2.144690e-002
2.100000000000001e-001	2.243817e-002
2.200000000000001e-001	2.316591e-002
2.300000000000001e-001	2.368845e-002
2.400000000000001e-001	2.405783e-002
2.500000000000001e-001	2.431623e-002
2.600000000000001e-001	2.449582e-002
2.700000000000001e-001	2.462022e-002
2.800000000000001e-001	2.470636e-002
2.900000000000001e-001	2.476612e-002
3.000000000000001e-001	2.480781e-002
3.100000000000001e-001	2.483712e-002
3.200000000000001e-001	2.485799e-002
3.300000000000001e-001	2.487311e-002
3.400000000000001e-001	2.488432e-002
3.500000000000001e-001	2.489286e-002
3.600000000000002e-001	2.489959e-002
3.700000000000002e-001	2.490509e-002
3.800000000000002e-001	2.490975e-002
3.900000000000002e-001	2.491384e-002
4.000000000000002e-001	2.491754e-002
4.100000000000002e-001	2.492098e-002
4.200000000000002e-001	2.492424e-002
4.300000000000002e-001	2.492739e-002
4.400000000000002e-001	2.493045e-002
4.500000000000002e-001	2.493345e-002
4.600000000000002e-001	2.493641e-002
4.700000000000003e-001	2.493935e-002
4.800000000000003e-001	2.494228e-002
4.900000000000003e-001	2.494518e-002
5.000000000000002e-001	2.494809e-002
5.100000000000002e-001	2.495098e-002
5.200000000000002e-001	2.495388e-002
5.300000000000003e-001	2.495676e-002
5.400000000000003e-001	2.495965e-002
5.500000000000003e-001	2.496254e-002
5.600000000000003e-001	2.496543e-002
5.700000000000003e-001	2.496831e-002
5.800000000000003e-001	2.497120e-002
5.900000000000003e-001	2.497408e-002
6.000000000000003e-001	2.497697e-002
6.100000000000003e-001	2.497985e-002
6.200000000000003e-001	2.498274e-002
6.300000000000003e-001	2.498562e-002
6.400000000000004e-001	2.498850e-002
6.500000000000004e-001	2.499139e-002
6.600000000000004e-001	2.499427e-002
6.700000000000004e-001	2.499716e-002
6.800000000000004e-001	2.500004e-002
6.900000000000004e-001	2.500293e-002
7.000000000000004e-001	2.500581e-002
7.100000000000004e-001	2.500870e-002
7.200000000000004e-001	2.501158e-002
7.300000000000004e-001	2.501446e-002
7.400000000000004e-001	2.501735e-002
7.500000000000004e-001	2.502023e-002
7.600000000000005e-001	2.502312e-002
7.700000000000005e-001	2.502600e-002
7.800000000000005e-001	2.502889e-002
7.900000000000005e-001	2.503177e-002
8.000000000000005e-001	2.503465e-002
8.100000000000005e-001	2.503754e-002
8.200000000000005e-001	2.504042e-002
8.300000000000005e-001	2.504331e-002
8.400000000000005e-001	2.504619e-002
8.500000000000005e-001	2.504908e-002
8.600000000000005e-001	2.505196e-002
8.700000000000006e-001	2.505485e-002
8.800000000000006e-001	2.505773e-002
8.900000000000006e-001	2.506061e-002
9.000000000000006e-001	2.506350e-002
9.100000000000006e-001	2.506638e-002
9.200000000000006e-001	2.506927e-002
9.300000000000006e-001	2.507215e-002
9.400000000000006e-001	2.507504e-002
9.500000000000006e-001	2.507792e-002
9.600000000000006e-001	2.508081e-002
9.700000000000006e-001	2.508369e-002
9.800000000000007e-001	2.508657e-002
9.900000000000007e-001	2.508946e-002
1.000000000000001e+000	2.509234e-002
1.010000000000001e+000	2.509523e-002
1.020000000000001e+000	2.509811e-002
1.030000000000001e+000	2.510100e-002
1.040000000000001e+000	2.510388e-002
1.050000000000001e+000	2.510677e-002
1.060000000000001e+000	2.510965e-002
1.070000000000001e+000	2.511253e-002
1.080000000000001e+000	2.511542e-002
1.090000000000001e+000	2.511830e-002
1.100000000000001e+000	2.512119e-002
1.110000000000001e+000	2.512407e-002
1.120000000000001e+000	2.512696e-002
1.130000000000001e+000	2.512984e-002
1.140000000000001e+000	2.513273e-002
1.150000000000001e+000	2.513561e-002
1.160000000000001e+000	2.513849e-002
1.170000000000001e+000	2.514138e-002
1.180000000000001e+000	2.514426e-002
1.190000000000001e+000	2.514715e-002
1.200000000000001e+000	2.515003e-002
1.210000000000001e+000	2.515292e-002
1.220000000000001e+000	2.515580e-002
1.230000000000001e+000	2.515868e-002
1.240000000000001e+000	2.516157e-002
1.250000000000001e+000	2.516445e-002
1.260000000000001e+000	2.516734e-002
1.270000000000001e+000	2.517022e-002
1.280000000000001e+000	2.517311e-002
1.290000000000001e+000	2.517599e-002
1.300000000000001e+000	2.517888e-002
1.310000000000001e+000	2.518176e-002
1.320000000000001e+000	2.518464e-002
1.330000000000001e+000	2.518753e-002
1.340000000000001e+000	2.519041e-002
1.350000000000001e+000	2.519330e-002
1.360000000000001e+000	2.519618e-002
1.370000000000001e+000	2.519907e-002
1.380000000000001e+000	2.520195e-002
1.390000000000001e+000	2.520484e-002
1.400000000000001e+000	2.520772e-002
1.410000000000001e+000	2.521060e-002
1.420000000000001e+000	2.521349e-002
1.430000000000001e+000	2.521637e-002
1.440000000000001e+000	2.521926e-002
1.450000000000001e+000	2.522214e-002
1.460000000000001e+000	2.522503e-002
1.470000000000001e+000	2.522791e-002
1.480000000000001e+000	2.523080e-002
1.490000000000001e+000	2.523368e-002
1.500000000000001e+000	2.523656e-002
1.510000000000001e+000	2.523945e-002
1.520000000000001e+000	2.524233e-002
1.530000000000001e+000	2.524522e-002
1.540000000000001e+000	2.524810e-002
1.550000000000001e+000	2.525099e-002
1.560000000000001e+000	2.525387e-002
1.570000000000001e+000	2.525675e-002
1.580000000000001e+000	2.525964e-002
1.590000000000001e+000	2.526253e-002
1.600000000000001e+000	2.526541e-002
1.610000000000001e+000	2.526829e-002
1.620000000000001e+000	2.527118e-002
1.630000000000001e+000	2.527406e-002
1.640000000000001e+000	2.527695e-002
1.650000000000001e+000	2.527983e-002
