v2	Ic(Q1)
0.000000000000000e+000	6.420348e-003
1.000000000000000e-002	7.683316e-003
2.000000000000000e-002	9.016355e-003
3.000000000000000e-002	1.039795e-002
4.000000000000000e-002	1.180671e-002
5.000000000000000e-002	1.322171e-002
6.000000000000001e-002	1.462261e-002
7.000000000000001e-002	1.598976e-002
8.000000000000000e-002	1.730428e-002
9.000000000000000e-002	1.854837e-002
9.999999999999999e-002	1.970581e-002
1.100000000000000e-001	2.076264e-002
1.200000000000000e-001	2.170817e-002
1.300000000000000e-001	2.253584e-002
1.400000000000000e-001	2.324398e-002
1.500000000000000e-001	2.383601e-002
1.600000000000000e-001	2.431995e-002
1.700000000000000e-001	2.470733e-002
1.800000000000000e-001	2.501166e-002
1.900000000000000e-001	2.524699e-002
2.000000000000000e-001	2.542663e-002
2.100000000000001e-001	2.556243e-002
2.200000000000001e-001	2.566438e-002
2.300000000000001e-001	2.574059e-002
2.400000000000001e-001	2.579748e-002
2.500000000000001e-001	2.583999e-002
2.600000000000001e-001	2.587187e-002
2.700000000000001e-001	2.589593e-002
2.800000000000001e-001	2.591426e-002
2.900000000000001e-001	2.592840e-002
3.000000000000001e-001	2.593949e-002
3.100000000000001e-001	2.594835e-002
3.200000000000001e-001	2.595559e-002
3.300000000000001e-001	2.596165e-002
3.400000000000001e-001	2.596686e-002
3.500000000000001e-001	2.597145e-002
3.600000000000002e-001	2.597559e-002
3.700000000000002e-001	2.597940e-002
3.800000000000002e-001	2.598296e-002
3.900000000000002e-001	2.598636e-002
4.000000000000002e-001	2.598963e-002
4.100000000000002e-001	2.599281e-002
4.200000000000002e-001	2.599592e-002
4.300000000000002e-001	2.599898e-002
4.400000000000002e-001	2.600200e-002
4.500000000000002e-001	2.600500e-002
4.600000000000002e-001	2.600799e-002
4.700000000000003e-001	2.601095e-002
4.800000000000003e-001	2.601391e-002
4.900000000000003e-001	2.601686e-002
5.000000000000002e-001	2.601981e-002
5.100000000000002e-001	2.602275e-002
5.200000000000002e-001	2.602569e-002
5.300000000000003e-001	2.602862e-002
5.400000000000003e-001	2.603156e-002
5.500000000000003e-001	2.603449e-002
5.600000000000003e-001	2.603742e-002
5.700000000000003e-001	2.604036e-002
5.800000000000003e-001	2.604329e-002
5.900000000000003e-001	2.604622e-002
6.000000000000003e-001	2.604915e-002
6.100000000000003e-001	2.605208e-002
6.200000000000003e-001	2.605501e-002
6.300000000000003e-001	2.605794e-002
6.400000000000004e-001	2.606087e-002
6.500000000000004e-001	2.606380e-002
6.600000000000004e-001	2.606673e-002
6.700000000000004e-001	2.606966e-002
6.800000000000004e-001	2.607260e-002
6.900000000000004e-001	2.607553e-002
7.000000000000004e-001	2.607846e-002
7.100000000000004e-001	2.608139e-002
7.200000000000004e-001	2.608432e-002
7.300000000000004e-001	2.608724e-002
7.400000000000004e-001	2.609017e-002
7.500000000000004e-001	2.609311e-002
