v1	Ic(Q1)
0.000000000000000e+000	7.450654e-006
1.000000000000000e-002	5.535780e-005
2.000000000000000e-002	1.234414e-004
3.000000000000000e-002	2.189268e-004
4.000000000000000e-002	3.504388e-004
5.000000000000000e-002	5.272465e-004
6.000000000000001e-002	7.576518e-004
7.000000000000001e-002	1.046499e-003
8.000000000000000e-002	1.392333e-003
9.000000000000000e-002	1.785354e-003
9.999999999999999e-002	2.207470e-003
1.100000000000000e-001	2.635043e-003
1.200000000000000e-001	3.043602e-003
1.300000000000000e-001	3.412780e-003
1.400000000000000e-001	3.729652e-003
1.500000000000000e-001	3.989555e-003
1.600000000000000e-001	4.194696e-003
1.700000000000000e-001	4.351649e-003
1.800000000000000e-001	4.468866e-003
1.900000000000000e-001	4.554847e-003
2.000000000000000e-001	4.617120e-003
2.100000000000001e-001	4.661850e-003
2.200000000000001e-001	4.693831e-003
2.300000000000001e-001	4.716665e-003
2.400000000000001e-001	4.732993e-003
2.500000000000001e-001	4.744723e-003
2.600000000000001e-001	4.753216e-003
2.700000000000001e-001	4.759436e-003
2.800000000000001e-001	4.764065e-003
2.900000000000001e-001	4.767579e-003
3.000000000000001e-001	4.770312e-003
3.100000000000001e-001	4.772501e-003
3.200000000000001e-001	4.774307e-003
3.300000000000001e-001	4.775847e-003
3.400000000000001e-001	4.777200e-003
3.500000000000001e-001	4.778422e-003
3.600000000000002e-001	4.779552e-003
3.700000000000002e-001	4.780618e-003
3.800000000000002e-001	4.781640e-003
3.900000000000002e-001	4.782629e-003
4.000000000000002e-001	4.783597e-003
4.100000000000002e-001	4.784549e-003
4.200000000000002e-001	4.785490e-003
4.300000000000002e-001	4.786423e-003
4.400000000000002e-001	4.787351e-003
4.500000000000002e-001	4.788275e-003
4.600000000000002e-001	4.789196e-003
4.700000000000003e-001	4.790116e-003
4.800000000000003e-001	4.791034e-003
4.900000000000003e-001	4.791951e-003
5.000000000000002e-001	4.792868e-003
5.100000000000002e-001	4.793784e-003
5.200000000000002e-001	4.794700e-003
5.300000000000003e-001	4.795616e-003
5.400000000000003e-001	4.796531e-003
5.500000000000003e-001	4.797446e-003
5.600000000000003e-001	4.798361e-003
5.700000000000003e-001	4.799277e-003
5.800000000000003e-001	4.800192e-003
5.900000000000003e-001	4.801107e-003
6.000000000000003e-001	4.802022e-003
6.100000000000003e-001	4.802937e-003
6.200000000000003e-001	4.803852e-003
6.300000000000003e-001	4.804767e-003
6.400000000000004e-001	4.805682e-003
6.500000000000004e-001	4.806597e-003
6.600000000000004e-001	4.807512e-003
6.700000000000004e-001	4.808427e-003
6.800000000000004e-001	4.809342e-003
6.900000000000004e-001	4.810257e-003
