v2	Ic(Q1)
0.000000000000000e+000	1.516008e-003
1.000000000000000e-002	1.912875e-003
2.000000000000000e-002	2.342272e-003
3.000000000000000e-002	2.786817e-003
4.000000000000000e-002	3.227847e-003
5.000000000000000e-002	3.647914e-003
6.000000000000001e-002	4.032821e-003
7.000000000000001e-002	4.372907e-003
8.000000000000000e-002	4.663454e-003
9.000000000000000e-002	4.904253e-003
9.999999999999999e-002	5.098574e-003
1.100000000000000e-001	5.251875e-003
1.200000000000000e-001	5.370579e-003
1.300000000000000e-001	5.461139e-003
1.400000000000000e-001	5.529444e-003
1.500000000000000e-001	5.580530e-003
1.600000000000000e-001	5.618515e-003
1.700000000000000e-001	5.646657e-003
1.800000000000000e-001	5.667472e-003
1.900000000000000e-001	5.682871e-003
2.000000000000000e-001	5.694286e-003
2.100000000000001e-001	5.702782e-003
2.200000000000001e-001	5.709145e-003
2.300000000000001e-001	5.713951e-003
2.400000000000001e-001	5.717624e-003
2.500000000000001e-001	5.720472e-003
2.600000000000001e-001	5.722719e-003
2.700000000000001e-001	5.724531e-003
2.800000000000001e-001	5.726025e-003
2.900000000000001e-001	5.727287e-003
3.000000000000001e-001	5.728383e-003
3.100000000000001e-001	5.729356e-003
3.200000000000001e-001	5.730241e-003
3.300000000000001e-001	5.731060e-003
3.400000000000001e-001	5.731833e-003
3.500000000000001e-001	5.732572e-003
3.600000000000002e-001	5.733285e-003
3.700000000000002e-001	5.733980e-003
3.800000000000002e-001	5.734663e-003
3.900000000000002e-001	5.735335e-003
4.000000000000002e-001	5.736000e-003
4.100000000000002e-001	5.736660e-003
4.200000000000002e-001	5.737316e-003
4.300000000000002e-001	5.737969e-003
4.400000000000002e-001	5.738621e-003
4.500000000000002e-001	5.739270e-003
4.600000000000002e-001	5.739919e-003
4.700000000000003e-001	5.740567e-003
4.800000000000003e-001	5.741214e-003
4.900000000000003e-001	5.741861e-003
5.000000000000002e-001	5.742507e-003
5.100000000000002e-001	5.743153e-003
5.200000000000002e-001	5.743799e-003
5.300000000000003e-001	5.744445e-003
5.400000000000003e-001	5.745090e-003
5.500000000000003e-001	5.745736e-003
5.600000000000003e-001	5.746381e-003
5.700000000000003e-001	5.747027e-003
5.800000000000003e-001	5.747672e-003
5.900000000000003e-001	5.748318e-003
6.000000000000003e-001	5.748963e-003
6.100000000000003e-001	5.749608e-003
6.200000000000003e-001	5.750253e-003
6.300000000000003e-001	5.750899e-003
6.400000000000004e-001	5.751544e-003
6.500000000000004e-001	5.752189e-003
6.600000000000004e-001	5.752834e-003
6.700000000000004e-001	5.753480e-003
6.800000000000004e-001	5.754125e-003
6.900000000000004e-001	5.754770e-003
7.000000000000004e-001	5.755416e-003
7.100000000000004e-001	5.756061e-003
7.200000000000004e-001	5.756706e-003
7.300000000000004e-001	5.757351e-003
7.400000000000004e-001	5.757997e-003
7.500000000000004e-001	5.758642e-003
7.600000000000005e-001	5.759287e-003
7.700000000000005e-001	5.759933e-003
7.800000000000005e-001	5.760578e-003
7.900000000000005e-001	5.761223e-003
8.000000000000005e-001	5.761868e-003
8.100000000000005e-001	5.762514e-003
8.200000000000005e-001	5.763159e-003
8.300000000000005e-001	5.763804e-003
8.400000000000005e-001	5.764449e-003
8.500000000000005e-001	5.765094e-003
