v1	Ic(Q1)
0.000000000000000e+000	-9.363984e-005
1.000000000000000e-001	3.613429e-003
2.000000000000000e-001	2.181095e-002
3.000000000000000e-001	2.428480e-002
4.000000000000000e-001	2.436766e-002
5.000000000000000e-001	2.439457e-002
6.000000000000000e-001	2.442030e-002
7.000000000000000e-001	2.444600e-002
7.999999999999999e-001	2.447171e-002
8.999999999999999e-001	2.449741e-002
9.999999999999999e-001	2.452312e-002
1.100000000000000e+000	2.454882e-002
1.200000000000000e+000	2.457453e-002
1.300000000000000e+000	2.460024e-002
1.400000000000000e+000	2.462594e-002
1.500000000000000e+000	2.465165e-002
1.600000000000000e+000	2.467735e-002
1.700000000000000e+000	2.470306e-002
1.800000000000001e+000	2.472876e-002
1.900000000000001e+000	2.475447e-002
2.000000000000000e+000	2.478017e-002
2.100000000000001e+000	2.480588e-002
2.200000000000001e+000	2.483159e-002
2.300000000000001e+000	2.485729e-002
2.400000000000001e+000	2.488300e-002
2.500000000000001e+000	2.490870e-002
2.600000000000001e+000	2.493441e-002
2.700000000000001e+000	2.496011e-002
2.800000000000001e+000	2.498582e-002
2.900000000000001e+000	2.501152e-002
3.000000000000001e+000	2.503723e-002
3.100000000000001e+000	2.506293e-002
3.200000000000002e+000	2.508864e-002
3.300000000000002e+000	2.511434e-002
3.400000000000002e+000	2.514005e-002
3.500000000000002e+000	2.516576e-002
3.600000000000002e+000	2.519146e-002
3.700000000000002e+000	2.521717e-002
3.800000000000002e+000	2.524287e-002
3.900000000000002e+000	2.526858e-002
4.000000000000002e+000	2.529428e-002
4.100000000000001e+000	2.531999e-002
4.200000000000001e+000	2.534569e-002
4.300000000000001e+000	2.537140e-002
4.400000000000000e+000	2.539711e-002
4.500000000000000e+000	2.542281e-002
4.600000000000000e+000	2.544852e-002
4.699999999999999e+000	2.547422e-002
4.799999999999999e+000	2.549993e-002
4.899999999999999e+000	2.552563e-002
5.000000000000000e+000	2.555134e-002
