v1	Ic(Q1)
0.000000000000000e+000	1.377832e-012
2.000000000000000e-002	1.381040e-012
4.000000000000000e-002	1.411716e-012
6.000000000000000e-002	1.501946e-012
8.000000000000000e-002	1.721552e-012
1.000000000000000e-001	2.223270e-012
1.200000000000000e-001	3.338755e-012
1.400000000000000e-001	5.789974e-012
1.600000000000000e-001	1.114882e-011
1.800000000000000e-001	2.283478e-011
2.000000000000000e-001	4.829162e-011
2.200000000000000e-001	1.037199e-010
2.400000000000000e-001	2.243768e-010
2.600000000000000e-001	4.869981e-010
2.800000000000000e-001	1.058589e-009
3.000000000000000e-001	2.302616e-009
3.200000000000000e-001	5.010126e-009
3.400000000000000e-001	1.090274e-008
3.600000000000000e-001	2.372733e-008
3.800000000000001e-001	5.163850e-008
4.000000000000001e-001	1.123836e-007
4.200000000000001e-001	2.445865e-007
4.400000000000001e-001	5.323040e-007
4.600000000000001e-001	1.158457e-006
4.800000000000002e-001	2.521070e-006
5.000000000000001e-001	5.486008e-006
5.200000000000001e-001	1.193593e-005
5.400000000000002e-001	2.595974e-005
5.600000000000002e-001	5.641671e-005
5.800000000000002e-001	1.224019e-004
6.000000000000002e-001	2.646123e-004
6.200000000000002e-001	5.677326e-004
6.400000000000002e-001	1.199407e-003
6.600000000000003e-001	2.460063e-003
6.800000000000003e-001	4.796889e-003
7.000000000000003e-001	8.692828e-003
7.200000000000003e-001	1.444063e-002
7.400000000000003e-001	2.201539e-002
7.600000000000003e-001	3.116465e-002
7.800000000000004e-001	4.156935e-002
8.000000000000004e-001	5.294028e-002
8.200000000000004e-001	6.504624e-002
8.400000000000004e-001	7.771084e-002
8.600000000000004e-001	9.080098e-002
8.800000000000005e-001	1.042157e-001
9.000000000000000e-001	1.178778e-001
