,CH1,CH2
Second,Volt,Volt
-9.60001e-04,0.00e+00,3.20e-03, 
-9.20000e-04,-4.00e-01,-8.00e-03, 
-8.80000e-04,8.00e-01,-8.00e-03, 
-8.40001e-04,-8.00e-01,0.00e+00, 
-8.00001e-04,-8.00e-01,-8.80e-03, 
-7.60000e-04,8.00e-01,8.00e-04, 
-7.20001e-04,-8.00e-01,-6.40e-03, 
-6.80001e-04,4.00e-01,1.60e-03, 
-6.40000e-04,8.00e-01,-7.20e-03, 
-6.00001e-04,-8.00e-01,1.60e-03, 
-5.60001e-04,8.00e-01,1.60e-03, 
-5.20000e-04,-8.00e-01,-8.00e-03, 
-4.80001e-04,-8.00e-01,-7.20e-03, 
-4.40001e-04,4.00e-01,-1.60e-03, 
-4.00000e-04,-8.00e-01,-6.40e-03, 
-3.60001e-04,8.00e-01,8.00e-04, 
-3.20001e-04,4.00e-01,-8.00e-03, 
-2.80000e-04,-8.00e-01,1.60e-03, 
-2.40001e-04,8.00e-01,-6.40e-03, 
-2.00001e-04,-8.00e-01,-8.00e-04, 
-1.60000e-04,-8.00e-01,1.60e-03, 
-1.20001e-04,8.00e-01,-8.80e-03, 
-8.00006e-05,8.00e-01,-5.60e-03, 
-4.00003e-05,-8.00e-01,0.00e+00, 
-9.31323e-10,-8.00e-01,-8.00e-03, 
3.99994e-05,3.04e+01,1.12e-02, 
7.99997e-05,3.00e+01,-5.60e-03, 
1.20000e-04,2.92e+01,3.20e-03, 
1.59999e-04,2.92e+01,-3.20e-03, 
2.00000e-04,2.76e+01,6.40e-03, 
2.40000e-04,2.80e+01,8.00e-04, 
2.79999e-04,2.60e+01,8.80e-03, 
3.20000e-04,2.60e+01,1.20e-02, 
3.60000e-04,2.40e+01,5.60e-03, 
3.99999e-04,2.36e+01,6.40e-03, 
4.40000e-04,2.16e+01,1.20e-02, 
4.80000e-04,2.12e+01,1.04e-02, 
5.19999e-04,1.88e+01,1.44e-02, 
5.60000e-04,1.80e+01,1.60e-02, 
6.00000e-04,1.52e+01,1.12e-02, 
6.39999e-04,1.52e+01,1.12e-02, 
6.80000e-04,1.20e+01,2.00e-02, 
7.20000e-04,1.16e+01,1.44e-02, 
7.59999e-04,8.40e+00,2.00e-02, 
8.00000e-04,8.00e+00,1.12e-02, 
8.40000e-04,4.80e+00,2.08e-02, 
8.79999e-04,4.40e+00,1.92e-02, 
9.20000e-04,8.00e-01,1.44e-02, 
9.60000e-04,4.00e-01,1.44e-02, 
9.99999e-04,-3.20e+00,2.00e-02, 
1.04000e-03,-3.20e+00,1.44e-02, 
1.08000e-03,-6.40e+00,2.00e-02, 
1.12000e-03,-6.40e+00,2.24e-02, 
1.16000e-03,-9.60e+00,1.60e-02, 
1.20000e-03,-1.00e+01,1.76e-02, 
1.24000e-03,-1.32e+01,1.20e-02, 
1.28000e-03,-1.36e+01,1.84e-02, 
1.32000e-03,-1.60e+01,1.12e-02, 
1.36000e-03,-1.60e+01,8.80e-03, 
1.40000e-03,-1.84e+01,1.60e-02, 
1.44000e-03,-1.88e+01,8.00e-03, 
1.48000e-03,-2.08e+01,1.36e-02, 
1.52000e-03,-2.08e+01,1.52e-02, 
1.56000e-03,-2.20e+01,6.40e-03, 
1.60000e-03,-2.24e+01,8.80e-03, 
1.64000e-03,-2.36e+01,2.40e-03, 
1.68000e-03,-2.36e+01,-3.20e-03, 
1.72000e-03,-2.48e+01,6.40e-03, 
1.76000e-03,-2.48e+01,8.00e-04, 
1.80000e-03,-2.52e+01,6.40e-03, 
1.84000e-03,-2.48e+01,-5.60e-03, 
1.88000e-03,-2.52e+01,8.00e-04, 
1.92000e-03,-2.48e+01,0.00e+00, 
1.96000e-03,-2.36e+01,-1.36e-02, 
2.00000e-03,-2.36e+01,-4.80e-03, 
2.04000e-03,-2.28e+01,-1.36e-02, 
2.08000e-03,-2.28e+01,-9.60e-03, 
2.12000e-03,-2.20e+01,-8.00e-04, 
2.16000e-03,-2.20e+01,0.00e+00, 
2.20000e-03,-2.04e+01,-1.52e-02, 
2.24000e-03,-2.00e+01,-1.04e-02, 
2.28000e-03,-1.88e+01,-1.76e-02, 
2.32000e-03,-1.88e+01,-1.84e-02, 
2.36000e-03,-1.64e+01,-1.20e-02, 
2.40000e-03,-1.68e+01,-2.16e-02, 
2.44000e-03,-1.48e+01,-1.04e-02, 
2.48000e-03,-1.40e+01,-7.20e-03, 
2.52000e-03,-1.20e+01,-1.84e-02, 
2.56000e-03,-1.16e+01,-2.24e-02, 
2.60000e-03,-9.20e+00,-1.36e-02, 
2.64000e-03,-9.20e+00,-1.60e-02, 
2.68000e-03,-6.40e+00,-2.16e-02, 
2.72000e-03,-6.40e+00,-1.76e-02, 
2.76000e-03,-4.00e+00,-2.48e-02, 
2.80000e-03,-3.60e+00,-1.76e-02, 
2.84000e-03,-8.00e-01,-2.40e-02, 
2.88000e-03,-8.00e-01,-2.32e-02, 
2.92000e-03,1.60e+00,-1.44e-02, 
2.96000e-03,1.60e+00,-1.12e-02, 
3.00000e-03,4.00e+00,-2.16e-02, 
