time	V(n004)	V(n006)
0.000000000000000e+000	-2.837032e-003	-4.055841e-002
9.285714285743400e-006	-2.380086e-003	-5.488387e-002
1.857142857148680e-005	-1.920984e-003	-6.893212e-002
2.785714285723020e-005	-1.459728e-003	-8.270315e-002
3.714285714297360e-005	-9.963155e-004	-9.619697e-002
4.642857142871700e-005	-5.307481e-004	-1.094136e-001
5.571428571446040e-005	-6.302532e-005	-1.223530e-001
6.500000000020378e-005	4.068528e-004	-1.350151e-001
8.500000000033481e-005	1.404191e-003	-1.603969e-001
1.050000000004658e-004	2.380181e-003	-1.832201e-001
1.250000000005969e-004	3.322877e-003	-2.030742e-001
1.450000000007279e-004	4.220520e-003	-2.196009e-001
1.650000000008589e-004	5.061694e-003	-2.325073e-001
1.850000000009899e-004	5.835483e-003	-2.415764e-001
2.050000000011210e-004	6.531512e-003	-2.466695e-001
2.250000000012520e-004	7.139827e-003	-2.477185e-001
2.450000000013830e-004	7.650758e-003	-2.447147e-001
2.650000000015140e-004	8.055023e-003	-2.377048e-001
2.850000000016451e-004	8.344123e-003	-2.267985e-001
3.050000000017761e-004	8.510840e-003	-2.121795e-001
3.250000000019071e-004	8.549595e-003	-1.941071e-001
3.450000000020381e-004	8.456612e-003	-1.729091e-001
3.650000000021691e-004	8.230001e-003	-1.489696e-001
3.850000000023002e-004	7.869873e-003	-1.227166e-001
4.050000000024312e-004	7.378505e-003	-9.461235e-002
4.250000000025622e-004	6.760499e-003	-6.514399e-002
4.450000000026932e-004	6.022929e-003	-3.481386e-002
4.650000000028243e-004	5.175425e-003	-4.129425e-003
4.750000000028898e-004	4.714162e-003	1.118818e-002
4.850000000029553e-004	4.230188e-003	2.640690e-002
5.050000000030863e-004	3.201923e-003	5.630765e-002
5.250000000032173e-004	2.107688e-003	8.510948e-002
5.450000000033484e-004	9.666264e-004	1.123810e-001
5.650000000034794e-004	-2.003909e-004	1.377290e-001
5.850000000036104e-004	-1.371244e-003	1.608033e-001
6.050000000037414e-004	-2.523132e-003	1.812990e-001
6.250000000038725e-004	-3.633216e-003	1.989576e-001
6.450000000040035e-004	-4.679317e-003	2.135661e-001
6.650000000041345e-004	-5.640618e-003	2.249555e-001
6.850000000042655e-004	-6.498336e-003	2.329978e-001
7.050000000043966e-004	-7.236319e-003	2.376040e-001
7.250000000045276e-004	-7.841531e-003	2.387216e-001
7.450000000046586e-004	-8.304381e-003	2.363338e-001
7.650000000047896e-004	-8.618895e-003	2.304592e-001
7.850000000049207e-004	-8.782707e-003	2.211531e-001
8.050000000050517e-004	-8.796888e-003	2.085099e-001
8.250000000051827e-004	-8.665632e-003	1.926662e-001
8.450000000053137e-004	-8.395838e-003	1.738034e-001
8.650000000054448e-004	-7.996622e-003	1.521513e-001
8.850000000055758e-004	-7.478807e-003	1.279889e-001
9.050000000057068e-004	-6.854436e-003	1.016452e-001
9.250000000058378e-004	-6.136326e-003	7.349717e-002
9.450000000059688e-004	-5.337706e-003	4.396570e-002
9.550000000060344e-004	-4.912377e-003	2.882334e-002
9.650000000060999e-004	-4.471927e-003	1.350982e-002
9.750000000061654e-004	-4.018011e-003	-1.912843e-003
1.005000000006362e-003	-2.591843e-003	-4.819794e-002
1.025000000006493e-003	-1.603486e-003	-7.842001e-002
1.045000000006624e-003	-5.998093e-004	-1.075284e-001
1.065000000006755e-003	4.068030e-004	-1.350159e-001
1.085000000006886e-003	1.404142e-003	-1.603976e-001
1.105000000007017e-003	2.380133e-003	-1.832209e-001
1.125000000007148e-003	3.322830e-003	-2.030749e-001
1.145000000007279e-003	4.220474e-003	-2.196016e-001
1.165000000007410e-003	5.061649e-003	-2.325080e-001
1.185000000007541e-003	5.835439e-003	-2.415771e-001
1.205000000007672e-003	6.531469e-003	-2.466701e-001
1.225000000007803e-003	7.139785e-003	-2.477192e-001
1.245000000007934e-003	7.650718e-003	-2.447154e-001
1.265000000008065e-003	8.054983e-003	-2.377054e-001
1.285000000008196e-003	8.344084e-003	-2.267991e-001
1.305000000008327e-003	8.510802e-003	-2.121800e-001
1.325000000008458e-003	8.549559e-003	-1.941076e-001
1.345000000008589e-003	8.456577e-003	-1.729097e-001
1.365000000008720e-003	8.229966e-003	-1.489701e-001
1.385000000008851e-003	7.869840e-003	-1.227171e-001
1.405000000008982e-003	7.378472e-003	-9.461285e-002
1.425000000009113e-003	6.760467e-003	-6.514449e-002
1.445000000009244e-003	6.022898e-003	-3.481434e-002
1.465000000009376e-003	5.175396e-003	-4.129888e-003
1.475000000009441e-003	4.714133e-003	1.118772e-002
1.485000000009507e-003	4.230159e-003	2.640644e-002
1.505000000009638e-003	3.201896e-003	5.630722e-002
1.525000000009769e-003	2.107661e-003	8.510906e-002
1.545000000009900e-003	9.666008e-004	1.123806e-001
1.565000000010031e-003	-2.004156e-004	1.377286e-001
1.585000000010162e-003	-1.371268e-003	1.608029e-001
1.605000000010293e-003	-2.523155e-003	1.812986e-001
1.625000000010424e-003	-3.633239e-003	1.989572e-001
1.645000000010555e-003	-4.679339e-003	2.135658e-001
1.665000000010686e-003	-5.640639e-003	2.249551e-001
1.685000000010817e-003	-6.498356e-003	2.329974e-001
1.705000000010948e-003	-7.236339e-003	2.376036e-001
1.725000000011079e-003	-7.841551e-003	2.387213e-001
1.745000000011210e-003	-8.304400e-003	2.363335e-001
1.765000000011341e-003	-8.618914e-003	2.304588e-001
1.785000000011472e-003	-8.782726e-003	2.211528e-001
1.805000000011603e-003	-8.796906e-003	2.085096e-001
1.825000000011734e-003	-8.665650e-003	1.926659e-001
1.845000000011865e-003	-8.395856e-003	1.738032e-001
1.865000000011996e-003	-7.996639e-003	1.521510e-001
1.885000000012127e-003	-7.478824e-003	1.279886e-001
1.905000000012258e-003	-6.854453e-003	1.016449e-001
1.925000000012389e-003	-6.136343e-003	7.349688e-002
1.945000000012520e-003	-5.337723e-003	4.396541e-002
1.955000000012586e-003	-4.912394e-003	2.882306e-002
1.965000000012651e-003	-4.471944e-003	1.350954e-002
1.975000000012717e-003	-4.018028e-003	-1.913127e-003
2.005000000012913e-003	-2.591860e-003	-4.819822e-002
2.025000000013044e-003	-1.603502e-003	-7.842028e-002
2.045000000013175e-003	-5.998251e-004	-1.075287e-001
2.065000000013306e-003	4.067875e-004	-1.350162e-001
2.085000000013437e-003	1.404127e-003	-1.603979e-001
2.105000000013568e-003	2.380118e-003	-1.832211e-001
2.125000000013699e-003	3.322815e-003	-2.030751e-001
2.145000000013830e-003	4.220460e-003	-2.196018e-001
2.165000000013961e-003	5.061635e-003	-2.325083e-001
2.185000000014092e-003	5.835425e-003	-2.415773e-001
2.205000000014223e-003	6.531456e-003	-2.466704e-001
2.225000000014354e-003	7.139772e-003	-2.477194e-001
2.245000000014485e-003	7.650705e-003	-2.447156e-001
2.265000000014616e-003	8.054971e-003	-2.377056e-001
2.285000000014748e-003	8.344072e-003	-2.267994e-001
2.305000000014879e-003	8.510791e-003	-2.121803e-001
2.325000000015010e-003	8.549547e-003	-1.941078e-001
2.345000000015141e-003	8.456565e-003	-1.729099e-001
2.365000000015272e-003	8.229955e-003	-1.489703e-001
2.385000000015403e-003	7.869829e-003	-1.227173e-001
2.405000000015534e-003	7.378462e-003	-9.461305e-002
2.425000000015665e-003	6.760458e-003	-6.514467e-002
2.445000000015796e-003	6.022889e-003	-3.481452e-002
2.465000000015927e-003	5.175387e-003	-4.130065e-003
2.475000000015992e-003	4.714124e-003	1.118755e-002
2.485000000016058e-003	4.230150e-003	2.640627e-002
2.505000000016189e-003	3.201887e-003	5.630705e-002
2.525000000016320e-003	2.107653e-003	8.510889e-002
2.545000000016451e-003	9.665929e-004	1.123804e-001
2.565000000016582e-003	-2.004233e-004	1.377285e-001
2.585000000016713e-003	-1.371276e-003	1.608028e-001
2.605000000016844e-003	-2.523162e-003	1.812985e-001
2.625000000016975e-003	-3.633246e-003	1.989571e-001
2.645000000017106e-003	-4.679346e-003	2.135656e-001
2.665000000017237e-003	-5.640646e-003	2.249550e-001
2.685000000017368e-003	-6.498363e-003	2.329973e-001
2.705000000017499e-003	-7.236346e-003	2.376035e-001
2.725000000017630e-003	-7.841556e-003	2.387211e-001
2.745000000017761e-003	-8.304406e-003	2.363333e-001
2.765000000017892e-003	-8.618920e-003	2.304587e-001
2.785000000018023e-003	-8.782732e-003	2.211526e-001
2.805000000018154e-003	-8.796913e-003	2.085095e-001
2.825000000018285e-003	-8.665657e-003	1.926657e-001
2.845000000018416e-003	-8.395862e-003	1.738030e-001
2.865000000018547e-003	-7.996645e-003	1.521509e-001
2.885000000018678e-003	-7.478829e-003	1.279885e-001
2.905000000018809e-003	-6.854459e-003	1.016448e-001
2.925000000018940e-003	-6.136349e-003	7.349675e-002
2.945000000019071e-003	-5.337728e-003	4.396529e-002
2.955000000019137e-003	-4.912400e-003	2.882293e-002
2.965000000019202e-003	-4.471949e-003	1.350941e-002
2.975000000019268e-003	-4.018033e-003	-1.913249e-003
3.005000000019464e-003	-2.591864e-003	-4.819834e-002
3.025000000019595e-003	-1.603507e-003	-7.842040e-002
3.045000000019726e-003	-5.998301e-004	-1.075288e-001
3.065000000019857e-003	4.067826e-004	-1.350163e-001
3.085000000019988e-003	1.404122e-003	-1.603980e-001
3.105000000020119e-003	2.380114e-003	-1.832212e-001
3.125000000020251e-003	3.322810e-003	-2.030752e-001
3.145000000020382e-003	4.220455e-003	-2.196019e-001
3.165000000020513e-003	5.061631e-003	-2.325084e-001
3.185000000020644e-003	5.835420e-003	-2.415774e-001
3.205000000020775e-003	6.531451e-003	-2.466705e-001
3.225000000020906e-003	7.139768e-003	-2.477195e-001
3.245000000021037e-003	7.650700e-003	-2.447157e-001
3.265000000021168e-003	8.054966e-003	-2.377057e-001
3.285000000021299e-003	8.344068e-003	-2.267995e-001
3.305000000021430e-003	8.510787e-003	-2.121804e-001
3.325000000021561e-003	8.549544e-003	-1.941079e-001
3.345000000021692e-003	8.456562e-003	-1.729100e-001
3.365000000021823e-003	8.229952e-003	-1.489704e-001
3.385000000021954e-003	7.869827e-003	-1.227174e-001
3.405000000022085e-003	7.378459e-003	-9.461313e-002
3.425000000022216e-003	6.760455e-003	-6.514477e-002
3.445000000022347e-003	6.022886e-003	-3.481461e-002
3.465000000022478e-003	5.175384e-003	-4.130153e-003
3.475000000022543e-003	4.714121e-003	1.118746e-002
3.485000000022609e-003	4.230148e-003	2.640619e-002
3.505000000022740e-003	3.201885e-003	5.630697e-002
3.525000000022871e-003	2.107650e-003	8.510881e-002
3.545000000023002e-003	9.665904e-004	1.123803e-001
3.565000000023133e-003	-2.004258e-004	1.377284e-001
3.585000000023264e-003	-1.371278e-003	1.608027e-001
3.605000000023395e-003	-2.523164e-003	1.812984e-001
3.625000000023526e-003	-3.633248e-003	1.989570e-001
3.645000000023657e-003	-4.679348e-003	2.135655e-001
3.665000000023788e-003	-5.640648e-003	2.249549e-001
3.685000000023919e-003	-6.498365e-003	2.329972e-001
3.705000000024050e-003	-7.236348e-003	2.376034e-001
3.725000000024181e-003	-7.841558e-003	2.387211e-001
3.745000000024312e-003	-8.304408e-003	2.363333e-001
3.765000000024443e-003	-8.618922e-003	2.304586e-001
3.785000000024574e-003	-8.782734e-003	2.211525e-001
3.805000000024705e-003	-8.796914e-003	2.085094e-001
3.825000000024836e-003	-8.665658e-003	1.926657e-001
3.845000000024967e-003	-8.395864e-003	1.738029e-001
3.865000000025098e-003	-7.996647e-003	1.521508e-001
3.885000000025229e-003	-7.478831e-003	1.279884e-001
3.905000000025360e-003	-6.854460e-003	1.016447e-001
3.925000000025491e-003	-6.136350e-003	7.349668e-002
3.945000000025623e-003	-5.337729e-003	4.396521e-002
3.955000000025688e-003	-4.912401e-003	2.882286e-002
3.965000000025754e-003	-4.471950e-003	1.350934e-002
3.975000000025819e-003	-4.018035e-003	-1.913320e-003
4.005000000026016e-003	-2.591866e-003	-4.819841e-002
4.025000000026147e-003	-1.603509e-003	-7.842047e-002
4.045000000026278e-003	-5.998316e-004	-1.075289e-001
4.065000000026409e-003	4.067811e-004	-1.350163e-001
4.085000000026540e-003	1.404120e-003	-1.603980e-001
4.105000000026671e-003	2.380112e-003	-1.832213e-001
4.125000000026802e-003	3.322809e-003	-2.030753e-001
4.145000000026933e-003	4.220454e-003	-2.196020e-001
4.165000000027064e-003	5.061630e-003	-2.325085e-001
4.185000000027195e-003	5.835419e-003	-2.415775e-001
4.205000000027326e-003	6.531450e-003	-2.466705e-001
4.225000000027457e-003	7.139767e-003	-2.477196e-001
4.245000000027588e-003	7.650699e-003	-2.447158e-001
4.265000000027719e-003	8.054966e-003	-2.377058e-001
4.285000000027850e-003	8.344067e-003	-2.267995e-001
4.305000000027981e-003	8.510785e-003	-2.121804e-001
4.325000000028112e-003	8.549543e-003	-1.941080e-001
4.345000000028243e-003	8.456561e-003	-1.729100e-001
4.365000000028374e-003	8.229950e-003	-1.489705e-001
4.385000000028505e-003	7.869826e-003	-1.227174e-001
4.405000000028636e-003	7.378459e-003	-9.461319e-002
4.425000000028767e-003	6.760454e-003	-6.514483e-002
4.445000000028898e-003	6.022885e-003	-3.481467e-002
4.465000000029029e-003	5.175383e-003	-4.130214e-003
4.475000000029095e-003	4.714120e-003	1.118740e-002
4.485000000029160e-003	4.230147e-003	2.640613e-002
4.505000000029291e-003	3.201884e-003	5.630691e-002
4.525000000029422e-003	2.107649e-003	8.510875e-002
4.545000000029553e-003	9.665895e-004	1.123803e-001
4.565000000029684e-003	-2.004265e-004	1.377283e-001
4.585000000029815e-003	-1.371279e-003	1.608026e-001
4.605000000029946e-003	-2.523165e-003	1.812983e-001
4.625000000030077e-003	-3.633248e-003	1.989569e-001
4.645000000030208e-003	-4.679349e-003	2.135655e-001
4.665000000030339e-003	-5.640649e-003	2.249548e-001
4.685000000030470e-003	-6.498366e-003	2.329972e-001
4.705000000030601e-003	-7.236348e-003	2.376034e-001
4.725000000030732e-003	-7.841559e-003	2.387210e-001
4.745000000030863e-003	-8.304409e-003	2.363332e-001
4.765000000030994e-003	-8.618923e-003	2.304586e-001
4.785000000031126e-003	-8.782734e-003	2.211525e-001
4.805000000031257e-003	-8.796914e-003	2.085094e-001
4.825000000031388e-003	-8.665659e-003	1.926656e-001
4.845000000031519e-003	-8.395864e-003	1.738029e-001
4.865000000031650e-003	-7.996647e-003	1.521508e-001
4.885000000031781e-003	-7.478832e-003	1.279884e-001
4.905000000031912e-003	-6.854461e-003	1.016447e-001
4.925000000032043e-003	-6.136351e-003	7.349662e-002
4.945000000032174e-003	-5.337730e-003	4.396516e-002
4.955000000032239e-003	-4.912402e-003	2.882281e-002
4.965000000032305e-003	-4.471951e-003	1.350929e-002
4.975000000032370e-003	-4.018035e-003	-1.913374e-003
5.005000000032567e-003	-2.591867e-003	-4.819847e-002
5.025000000032698e-003	-1.603509e-003	-7.842053e-002
5.045000000032829e-003	-5.998320e-004	-1.075289e-001
5.065000000032960e-003	4.067806e-004	-1.350164e-001
5.085000000033091e-003	1.404120e-003	-1.603981e-001
5.105000000033222e-003	2.380112e-003	-1.832214e-001
5.125000000033353e-003	3.322809e-003	-2.030754e-001
5.145000000033484e-003	4.220454e-003	-2.196020e-001
5.165000000033615e-003	5.061629e-003	-2.325085e-001
5.185000000033746e-003	5.835419e-003	-2.415776e-001
5.205000000033877e-003	6.531450e-003	-2.466706e-001
5.225000000034008e-003	7.139766e-003	-2.477196e-001
5.245000000034139e-003	7.650699e-003	-2.447158e-001
5.265000000034270e-003	8.054965e-003	-2.377058e-001
5.285000000034401e-003	8.344066e-003	-2.267996e-001
5.305000000034532e-003	8.510785e-003	-2.121805e-001
5.325000000034663e-003	8.549543e-003	-1.941080e-001
5.345000000034794e-003	8.456561e-003	-1.729101e-001
5.365000000034925e-003	8.229950e-003	-1.489705e-001
5.385000000035056e-003	7.869825e-003	-1.227175e-001
5.405000000035187e-003	7.378458e-003	-9.461325e-002
5.425000000035318e-003	6.760453e-003	-6.514488e-002
5.445000000035449e-003	6.022885e-003	-3.481472e-002
5.465000000035580e-003	5.175383e-003	-4.130265e-003
5.475000000035646e-003	4.714120e-003	1.118735e-002
5.485000000035711e-003	4.230147e-003	2.640607e-002
5.505000000035842e-003	3.201884e-003	5.630685e-002
5.525000000035973e-003	2.107649e-003	8.510870e-002
5.545000000036104e-003	9.665893e-004	1.123802e-001
5.565000000036235e-003	-2.004267e-004	1.377283e-001
5.585000000036366e-003	-1.371279e-003	1.608026e-001
5.605000000036498e-003	-2.523165e-003	1.812983e-001
5.625000000036629e-003	-3.633249e-003	1.989569e-001
5.645000000036760e-003	-4.679349e-003	2.135654e-001
5.665000000036891e-003	-5.640649e-003	2.249548e-001
5.685000000037022e-003	-6.498366e-003	2.329971e-001
5.705000000037153e-003	-7.236348e-003	2.376033e-001
5.725000000037284e-003	-7.841559e-003	2.387210e-001
5.745000000037415e-003	-8.304409e-003	2.363332e-001
5.765000000037546e-003	-8.618923e-003	2.304585e-001
5.785000000037677e-003	-8.782734e-003	2.211524e-001
5.805000000037808e-003	-8.796914e-003	2.085093e-001
5.825000000037939e-003	-8.665659e-003	1.926656e-001
5.845000000038070e-003	-8.395864e-003	1.738028e-001
5.865000000038201e-003	-7.996648e-003	1.521507e-001
5.885000000038332e-003	-7.478832e-003	1.279883e-001
5.905000000038463e-003	-6.854461e-003	1.016446e-001
5.925000000038594e-003	-6.136351e-003	7.349658e-002
5.945000000038725e-003	-5.337730e-003	4.396511e-002
5.955000000038790e-003	-4.912402e-003	2.882276e-002
5.965000000038856e-003	-4.471951e-003	1.350924e-002
5.975000000038921e-003	-4.018035e-003	-1.913424e-003
6.005000000039118e-003	-2.591867e-003	-4.819851e-002
6.025000000039249e-003	-1.603510e-003	-7.842057e-002
6.045000000039380e-003	-5.998322e-004	-1.075290e-001
6.065000000039511e-003	4.067805e-004	-1.350164e-001
6.085000000039642e-003	1.404120e-003	-1.603982e-001
6.105000000039773e-003	2.380112e-003	-1.832214e-001
6.125000000039904e-003	3.322809e-003	-2.030754e-001
6.145000000040035e-003	4.220454e-003	-2.196021e-001
6.165000000040166e-003	5.061629e-003	-2.325085e-001
6.185000000040297e-003	5.835419e-003	-2.415776e-001
6.205000000040428e-003	6.531449e-003	-2.466706e-001
6.225000000040559e-003	7.139766e-003	-2.477197e-001
6.245000000040690e-003	7.650699e-003	-2.447159e-001
6.265000000040821e-003	8.054965e-003	-2.377059e-001
6.285000000040952e-003	8.344066e-003	-2.267996e-001
6.305000000041083e-003	8.510785e-003	-2.121805e-001
6.325000000041214e-003	8.549543e-003	-1.941081e-001
6.345000000041345e-003	8.456561e-003	-1.729101e-001
6.365000000041476e-003	8.229950e-003	-1.489706e-001
6.385000000041607e-003	7.869825e-003	-1.227175e-001
6.405000000041738e-003	7.378458e-003	-9.461330e-002
6.425000000041869e-003	6.760453e-003	-6.514493e-002
6.445000000042001e-003	6.022885e-003	-3.481477e-002
6.465000000042132e-003	5.175383e-003	-4.130314e-003
6.475000000042197e-003	4.714120e-003	1.118730e-002
6.485000000042263e-003	4.230147e-003	2.640603e-002
6.505000000042394e-003	3.201884e-003	5.630680e-002
6.525000000042525e-003	2.107649e-003	8.510865e-002
6.545000000042656e-003	9.665893e-004	1.123802e-001
6.565000000042787e-003	-2.004268e-004	1.377282e-001
6.585000000042918e-003	-1.371279e-003	1.608025e-001
6.605000000043049e-003	-2.523165e-003	1.812982e-001
6.625000000043180e-003	-3.633249e-003	1.989568e-001
6.645000000043311e-003	-4.679349e-003	2.135654e-001
6.665000000043442e-003	-5.640649e-003	2.249547e-001
6.685000000043573e-003	-6.498366e-003	2.329971e-001
6.705000000043704e-003	-7.236348e-003	2.376033e-001
6.725000000043835e-003	-7.841559e-003	2.387209e-001
6.745000000043966e-003	-8.304409e-003	2.363331e-001
6.765000000044097e-003	-8.618923e-003	2.304585e-001
6.785000000044228e-003	-8.782734e-003	2.211524e-001
6.805000000044359e-003	-8.796914e-003	2.085093e-001
6.825000000044490e-003	-8.665659e-003	1.926655e-001
6.845000000044621e-003	-8.395864e-003	1.738028e-001
6.865000000044752e-003	-7.996648e-003	1.521506e-001
6.885000000044883e-003	-7.478832e-003	1.279883e-001
6.905000000045014e-003	-6.854461e-003	1.016446e-001
6.925000000045145e-003	-6.136351e-003	7.349653e-002
6.945000000045276e-003	-5.337730e-003	4.396506e-002
6.955000000045342e-003	-4.912402e-003	2.882271e-002
6.965000000045407e-003	-4.471951e-003	1.350919e-002
6.975000000045473e-003	-4.018035e-003	-1.913472e-003
7.005000000045669e-003	-2.591867e-003	-4.819856e-002
7.025000000045800e-003	-1.603510e-003	-7.842062e-002
7.045000000045931e-003	-5.998323e-004	-1.075290e-001
7.065000000046062e-003	4.067804e-004	-1.350165e-001
7.085000000046193e-003	1.404120e-003	-1.603982e-001
7.105000000046324e-003	2.380112e-003	-1.832215e-001
7.125000000046455e-003	3.322808e-003	-2.030755e-001
7.145000000046586e-003	4.220453e-003	-2.196022e-001
7.165000000046717e-003	5.061629e-003	-2.325086e-001
7.185000000046848e-003	5.835419e-003	-2.415776e-001
7.205000000046979e-003	6.531449e-003	-2.466707e-001
7.225000000047110e-003	7.139766e-003	-2.477197e-001
7.245000000047241e-003	7.650699e-003	-2.447159e-001
7.265000000047373e-003	8.054965e-003	-2.377059e-001
7.285000000047504e-003	8.344066e-003	-2.267997e-001
7.305000000047635e-003	8.510785e-003	-2.121806e-001
7.325000000047766e-003	8.549543e-003	-1.941081e-001
7.345000000047897e-003	8.456561e-003	-1.729102e-001
7.365000000048028e-003	8.229950e-003	-1.489706e-001
7.385000000048159e-003	7.869825e-003	-1.227176e-001
7.405000000048290e-003	7.378458e-003	-9.461334e-002
7.425000000048421e-003	6.760453e-003	-6.514498e-002
7.445000000048552e-003	6.022885e-003	-3.481482e-002
7.465000000048683e-003	5.175383e-003	-4.130362e-003
7.475000000048748e-003	4.714120e-003	1.118725e-002
7.485000000048814e-003	4.230147e-003	2.640598e-002
7.505000000048945e-003	3.201884e-003	5.630676e-002
7.525000000049076e-003	2.107649e-003	8.510860e-002
7.545000000049207e-003	9.665893e-004	1.123801e-001
7.565000000049338e-003	-2.004268e-004	1.377282e-001
7.585000000049469e-003	-1.371279e-003	1.608025e-001
7.605000000049600e-003	-2.523166e-003	1.812982e-001
7.625000000049731e-003	-3.633249e-003	1.989568e-001
7.645000000049862e-003	-4.679349e-003	2.135653e-001
7.665000000049993e-003	-5.640649e-003	2.249547e-001
7.685000000050124e-003	-6.498366e-003	2.329970e-001
7.705000000050255e-003	-7.236348e-003	2.376032e-001
7.725000000050386e-003	-7.841559e-003	2.387209e-001
7.745000000050517e-003	-8.304409e-003	2.363331e-001
7.765000000050648e-003	-8.618923e-003	2.304584e-001
7.785000000050779e-003	-8.782734e-003	2.211523e-001
7.805000000050910e-003	-8.796914e-003	2.085092e-001
7.825000000051041e-003	-8.665659e-003	1.926655e-001
7.845000000051172e-003	-8.395864e-003	1.738027e-001
7.865000000051303e-003	-7.996648e-003	1.521506e-001
7.885000000051434e-003	-7.478832e-003	1.279882e-001
7.905000000051565e-003	-6.854461e-003	1.016445e-001
7.925000000051696e-003	-6.136351e-003	7.349648e-002
7.945000000051827e-003	-5.337730e-003	4.396502e-002
7.955000000051893e-003	-4.912402e-003	2.882266e-002
7.965000000051958e-003	-4.471951e-003	1.350914e-002
7.975000000052024e-003	-4.018035e-003	-1.913520e-003
8.005000000052220e-003	-2.591867e-003	-4.819861e-002
8.025000000052351e-003	-1.603510e-003	-7.842067e-002
8.045000000052482e-003	-5.998323e-004	-1.075291e-001
8.065000000052613e-003	4.067804e-004	-1.350165e-001
8.085000000052744e-003	1.404120e-003	-1.603982e-001
8.105000000052876e-003	2.380112e-003	-1.832215e-001
8.125000000053007e-003	3.322808e-003	-2.030755e-001
8.145000000053138e-003	4.220453e-003	-2.196022e-001
8.165000000053269e-003	5.061629e-003	-2.325086e-001
8.185000000053400e-003	5.835419e-003	-2.415777e-001
8.205000000053531e-003	6.531449e-003	-2.466707e-001
8.225000000053662e-003	7.139766e-003	-2.477197e-001
8.245000000053793e-003	7.650699e-003	-2.447159e-001
8.265000000053924e-003	8.054965e-003	-2.377060e-001
8.285000000054055e-003	8.344066e-003	-2.267997e-001
8.305000000054186e-003	8.510785e-003	-2.121806e-001
8.325000000054317e-003	8.549543e-003	-1.941082e-001
8.345000000054448e-003	8.456561e-003	-1.729102e-001
8.365000000054579e-003	8.229950e-003	-1.489707e-001
8.385000000054710e-003	7.869825e-003	-1.227176e-001
8.405000000054841e-003	7.378458e-003	-9.461340e-002
8.425000000054972e-003	6.760453e-003	-6.514502e-002
8.445000000055103e-003	6.022885e-003	-3.481486e-002
8.465000000055234e-003	5.175383e-003	-4.130409e-003
8.475000000055299e-003	4.714120e-003	1.118720e-002
8.485000000055365e-003	4.230147e-003	2.640593e-002
8.505000000055496e-003	3.201884e-003	5.630671e-002
8.525000000055627e-003	2.107649e-003	8.510856e-002
8.545000000055758e-003	9.665892e-004	1.123801e-001
8.565000000055889e-003	-2.004268e-004	1.377281e-001
8.585000000056020e-003	-1.371279e-003	1.608024e-001
8.605000000056151e-003	-2.523166e-003	1.812981e-001
8.625000000056282e-003	-3.633249e-003	1.989567e-001
8.645000000056413e-003	-4.679349e-003	2.135653e-001
8.665000000056544e-003	-5.640649e-003	2.249546e-001
8.685000000056675e-003	-6.498366e-003	2.329970e-001
8.705000000056806e-003	-7.236348e-003	2.376032e-001
8.725000000056937e-003	-7.841559e-003	2.387208e-001
8.745000000057068e-003	-8.304409e-003	2.363330e-001
8.765000000057199e-003	-8.618923e-003	2.304584e-001
8.785000000057330e-003	-8.782734e-003	2.211523e-001
8.805000000057461e-003	-8.796914e-003	2.085092e-001
8.825000000057592e-003	-8.665659e-003	1.926654e-001
8.845000000057723e-003	-8.395864e-003	1.738027e-001
8.865000000057854e-003	-7.996648e-003	1.521506e-001
8.885000000057985e-003	-7.478832e-003	1.279882e-001
8.905000000058116e-003	-6.854461e-003	1.016445e-001
8.925000000058248e-003	-6.136351e-003	7.349643e-002
8.945000000058379e-003	-5.337730e-003	4.396497e-002
8.955000000058444e-003	-4.912402e-003	2.882261e-002
8.965000000058510e-003	-4.471951e-003	1.350910e-002
8.975000000058575e-003	-4.018035e-003	-1.913567e-003
9.005000000058772e-003	-2.591867e-003	-4.819866e-002
9.025000000058903e-003	-1.603510e-003	-7.842072e-002
9.045000000059034e-003	-5.998323e-004	-1.075291e-001
9.065000000059165e-003	4.067804e-004	-1.350166e-001
9.085000000059296e-003	1.404120e-003	-1.603983e-001
9.105000000059427e-003	2.380112e-003	-1.832215e-001
9.125000000059558e-003	3.322808e-003	-2.030756e-001
9.145000000059689e-003	4.220453e-003	-2.196022e-001
9.165000000059820e-003	5.061629e-003	-2.325087e-001
9.185000000059951e-003	5.835419e-003	-2.415777e-001
9.205000000060082e-003	6.531449e-003	-2.466708e-001
9.225000000060213e-003	7.139766e-003	-2.477198e-001
9.245000000060344e-003	7.650699e-003	-2.447160e-001
9.265000000060475e-003	8.054965e-003	-2.377060e-001
9.285000000060606e-003	8.344066e-003	-2.267998e-001
9.305000000060737e-003	8.510785e-003	-2.121807e-001
9.325000000060868e-003	8.549543e-003	-1.941082e-001
9.345000000060999e-003	8.456561e-003	-1.729103e-001
9.365000000061130e-003	8.229950e-003	-1.489707e-001
9.385000000061261e-003	7.869825e-003	-1.227177e-001
9.405000000061392e-003	7.378458e-003	-9.461344e-002
9.425000000061523e-003	6.760453e-003	-6.514507e-002
9.445000000061654e-003	6.022885e-003	-3.481491e-002
9.465000000061785e-003	5.175383e-003	-4.130457e-003
9.475000000061851e-003	4.714120e-003	1.118716e-002
9.485000000061916e-003	4.230147e-003	2.640588e-002
9.505000000062047e-003	3.201884e-003	5.630666e-002
